municipio_nombre;asociaciones
Acebeda, La;2
Ajalvir;6
Alameda del Valle;3
Álamo, El;11
Alcalá de Henares;217
Alcobendas;111
Alcorcón;147
Aldea del Fresno;7
Algete;47
Alpedrete;17
Ambite;2
Anchuelo;2
Aranjuez;63
Arganda del Rey;40
Arroyomolinos;36
Batres;14
Becerril de la Sierra;6
Belmonte de Tajo;5
Berrueco, El;1
Boadilla del Monte;59
Boalo, El;15
Braojos;1
Brea de Tajo;1
Brunete;12
Buitrago del Lozoya;4
Bustarviejo;5
Cabanillas de la Sierra;5
Cabrera, La;5
Cadalso de los Vidrios;10
Camarma de Esteruelas;11
Campo Real;12
Canencia;2
Carabaña;7
Casarrubuelos;6
Cenicientos;1
Cercedilla;18
Cervera de Buitrago;2
Chapinería;8
Chinchón;6
Ciempozuelos;22
Cobeña;4
Collado Mediano;7
Collado Villalba;59
Colmenar de Oreja;10
Colmenar del Arroyo;1
Colmenar Viejo;51
Colmenarejo;19
COMARCAL;307
Corpa;2
Coslada;102
Cubas de la Sagra;3
Daganzo de Arriba;10
Desconocido;3
Escorial, El;21
Estremera;6
Fresnedillas de la Oliva;3
Fresno de Torote;7
Fuenlabrada;238
Fuente el Saz de Jarama;10
Fuentidueña de Tajo;6
Galapagar;25
Garganta de los Montes;6
Gargantilla del Lozoya y Pinilla de Buitrago;2
Getafe;199
Griñón;9
Guadalix de la Sierra;7
Guadarrama;21
Hiruela, La;1
Hoyo de Manzanares;19
Humanes de Madrid;14
Leganés;204
Loeches;9
Lozoya;6
Lozoyuela-Navas-Sieteiglesias;6
Madrid;1696
Majadahonda;69
Manzanares el Real;15
Meco;28
Mejorada del Campo;19
Miraflores de la Sierra;18
Molar, El;22
Molinos, Los;4
Montejo de la Sierra;5
Moraleja de Enmedio;19
Moralzarzal;15
Morata de Tajuña;5
Móstoles;253
Navacerrada;5
Navalafuente;4
Navalagamella;8
Navalcarnero;33
Navarredonda y San Mamés;6
Navas del Rey;5
Nuevo Baztán;4
Olmeda de las Fuentes;2
Orusco de Tajuña;4
Paracuellos de Jarama;21
Parla;112
Patones;1
Pedrezuela;8
Pelayos de la Presa;3
Perales de Tajuña;6
Pezuela de las Torres;4
Pinto;58
Pozuelo de Alarcón;63
Pozuelo del Rey;3
Prádena del Rincón;2
Puebla de la Sierra;4
Puentes Viejas;1
Quijorna;10
Rascafría;8
Ribatejada;3
Rivas-Vaciamadrid;82
Robledillo de la Jara;2
Robledo de Chavela;9
Rozas de Madrid, Las;83
Rozas de Puerto Real;4
San Agustín del Guadalix;40
San Fernando de Henares;31
San Lorenzo de El Escorial;28
San Martín de la Vega;24
San Martín de Valdeiglesias;13
San Sebastián de los Reyes;101
Santa María de la Alameda;1
Santorcaz;4
Santos de la Humosa, Los;6
Serna del Monte, La;1
Serranillos del Valle;7
Sevilla la Nueva;11
Soto del Real;17
Talamanca de Jarama;7
Tielmes;7
Titulcia;3
Torrejón de Ardoz;136
Torrejón de la Calzada;9
Torrejón de Velasco;10
Torrelaguna;12
Torrelodones;37
Torremocha de Jarama;6
Torres de la Alameda;9
Tres Cantos;70
Valdaracete;5
Valdeavero;7
Valdelaguna;8
Valdemanco;1
Valdemaqueda;4
Valdemorillo;20
Valdemoro;79
Valdeolmos-Alalpardo;5
Valdepiélagos;2
Valdetorres de Jarama;6
Valdilecha;5
Valverde de Alcalá;1
Velilla de San Antonio;17
Vellón, El;6
Venturada;6
Villa del Prado;13
Villaconejos;6
Villalbilla;18
Villamanrique de Tajo;6
Villamanta;3
Villamantilla;3
Villanueva de la Cañada;22
Villanueva de Perales;4
Villanueva del Pardillo;22
Villar del Olmo;7
Villarejo de Salvanés;11
Villaviciosa de Odón;32
Villavieja del Lozoya;3
Zarzalejo;6
