municipio_nombre;plazas_centros_atencion_social
Ajalvir;142
Álamo, El;740
Alcalá de Henares;5262
Alcobendas;2660
Alcorcón;3103
Aldea del Fresno;425
Algete;494
Alpedrete;623
Aranjuez;1964
Arganda del Rey;1049
Arroyomolinos;470
Becerril de la Sierra;106
Belmonte de Tajo;49
Berrueco, El;110
Berzosa del Lozoya;87
Boadilla del Monte;780
Boalo, El;45
Brea de Tajo;118
Brunete;256
Buitrago del Lozoya;163
Bustarviejo;53
Cabrera, La;182
Cadalso de los Vidrios;297
Camarma de Esteruelas;80
Campo Real;156
Carabaña;49
Casarrubuelos;189
Cenicientos;342
Cercedilla;411
Chapinería;76
Chinchón;131
Ciempozuelos;1861
Cobeña;311
Collado Mediano;121
Collado Villalba;898
Colmenar de Oreja;191
Colmenar del Arroyo;106
Colmenar Viejo;1610
Colmenarejo;207
Corpa;70
Coslada;2137
Cubas de la Sagra;158
Daganzo de Arriba;99
Escorial, El;567
Estremera;157
Fresnedillas de la Oliva;36
Fresno de Torote;40
Fuenlabrada;3786
Fuente el Saz de Jarama;200
Fuentidueña de Tajo;103
Galapagar;997
Gargantilla del Lozoya y Pinilla de Buitrago;42
Getafe;5071
Griñón;1137
Guadalix de la Sierra;183
Guadarrama;1005
Humanes de Madrid;310
Leganés;5164
Loeches;138
Lozoyuela-Navas-Sieteiglesias;96
Madrid;84498
Majadahonda;1158
Manzanares el Real;139
Meco;247
Mejorada del Campo;98
Miraflores de la Sierra;35
Molar, El;130
Molinos, Los;90
Montejo de la Sierra;134
Moraleja de Enmedio;108
Moralzarzal;400
Morata de Tajuña;400
Móstoles;3811
Navacerrada;60
Navalafuente;50
Navalagamella;20
Navalcarnero;1397
Navas del Rey;245
Olmeda de las Fuentes;25
Orusco de Tajuña;152
Paracuellos de Jarama;326
Parla;2106
Patones;110
Pedrezuela;368
Pelayos de la Presa;150
Pezuela de las Torres;30
Pinto;1264
Pozuelo de Alarcón;3096
Quijorna;160
RESERVADO;862
Ribatejada;69
Rivas-Vaciamadrid;1175
Robledillo de la Jara;28
Robledo de Chavela;209
Rozas de Madrid, Las;2448
Rozas de Puerto Real;52
San Agustín del Guadalix;220
San Fernando de Henares;520
San Lorenzo de El Escorial;1463
San Martín de la Vega;314
San Martín de Valdeiglesias;494
San Sebastián de los Reyes;2044
Santorcaz;22
Serranillos del Valle;270
Sevilla la Nueva;681
Somosierra;88
Soto del Real;222
Talamanca de Jarama;398
Tielmes;338
Torrejón de Ardoz;1955
Torrejón de la Calzada;178
Torrelaguna;142
Torrelodones;1305
Torremocha de Jarama;197
Torres de la Alameda;553
Tres Cantos;1797
Valdelaguna;22
Valdemoro;1455
Valdeolmos-Alalpardo;56
Valdetorres de Jarama;178
Valverde de Alcalá;52
Velilla de San Antonio;212
Vellón, El;68
Venturada;23
Villa del Prado;280
Villaconejos;33
Villalbilla;354
Villamanta;250
Villamantilla;40
Villanueva de la Cañada;913
Villanueva del Pardillo;620
Villar del Olmo;50
Villarejo de Salvanés;50
Villaviciosa de Odón;960
Villavieja del Lozoya;20
Zarzalejo;106
