municipio_nombre;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Acebeda (La);0;0;0;0;0;0;0;0;0;0
Ajalvir;3;3;3;3;3;3;3;3;3;3
Alameda del Valle;0;0;0;0;0;0;0;0;0;0
Alamo (El);8;7;7;8;8;8;8;8;8;8
Alcalá de Henares;46;47;50;51;50;51;54;54;53;52
Alcobendas;23;24;23;24;24;23;23;28;30;30
Alcorcón;30;29;30;31;31;31;29;29;30;34
Aldea del Fresno;5;5;5;5;6;6;6;6;6;7
Algete;5;5;5;5;5;5;5;5;5;5
Alpedrete;10;10;10;10;10;10;10;11;11;11
Ambite;1;1;0;0;0;0;0;0;0;0
Anchuelo;0;0;0;0;0;0;0;0;0;0
Aranjuez;24;23;22;22;21;21;22;22;22;23
Arganda del Rey;16;18;18;18;17;17;17;17;15;15
Arroyomolinos;1;1;1;1;1;1;1;1;2;2
Atazar (El);0;0;0;0;0;0;0;0;0;0
Batres;0;0;0;0;0;0;0;0;0;0
Becerril de la Sierra;3;3;3;3;3;3;3;3;3;3
Belmonte de Tajo;1;1;1;1;1;1;1;1;1;1
Berrueco (El);0;1;1;1;1;1;1;1;1;1
Berzosa del Lozoya;2;2;2;2;3;3;3;3;3;3
Boadilla del Monte;7;7;7;7;7;8;8;8;9;8
Boalo (El);0;1;1;1;1;1;1;1;1;1
Braojos;0;0;0;0;0;0;0;0;0;0
Brea de Tajo;3;3;3;3;3;3;3;2;2;2
Brunete;2;2;2;2;2;3;3;3;3;3
Buitrago del Lozoya;4;3;3;3;3;4;4;4;4;4
Bustarviejo;1;1;1;1;1;1;1;1;1;1
Cabanillas de la Sierra;0;0;0;0;0;0;0;0;0;0
Cabrera (La);8;8;7;7;7;7;7;7;6;6
Cadalso de los Vidrios;2;2;11;11;11;11;11;11;11;11
Camarma de Esteruelas;1;1;1;1;1;1;1;1;2;2
Campo Real;2;2;2;2;2;2;2;2;2;2
Canencia;0;0;0;0;0;0;0;0;0;0
Carabaña;1;1;1;2;1;1;1;1;1;1
Casarrubuelos;1;1;1;1;1;1;1;1;1;1
Cenicientos;3;3;3;3;3;3;3;3;3;3
Cercedilla;8;8;7;7;7;7;8;8;8;8
Cervera de Buitrago;0;0;0;0;0;0;0;0;0;0
Chapinería;1;1;1;1;1;1;1;1;1;1
