municipio_nombre;Centro de educacion artistica;Centro de educacion especial;Centro de educacion obligatoria;Centro de educacion postobligatoria
Ajalvir;0;0;1;0
Alcalá de Henares;1;4;40;2
Alcobendas;2;5;31;0
Alcorcón;1;3;37;1
Aldea del Fresno;0;0;1;0
Algete;1;0;8;0
Alpedrete;0;0;2;0
Aranjuez;1;2;13;0
Arganda del Rey;1;1;11;0
Arroyomolinos;0;0;1;0
Becerril de la Sierra;0;0;1;0
Belmonte de Tajo;0;0;1;0
Boadilla del Monte;2;0;8;0
Boalo (El);0;0;1;0
Brunete;0;0;1;0
Buitrago del Lozoya;0;0;2;0
Bustarviejo;0;0;1;0
Cabrera (La);0;0;2;0
Cadalso de los Vidrios;0;0;1;0
Camarma de Esteruelas;0;0;1;0
Campo Real;0;0;1;0
Casarrubuelos;0;0;1;0
Cenicientos;0;0;1;0
Cercedilla;0;0;3;0
Chinchón;0;0;2;0
Ciempozuelos;0;0;4;1
Cobeña;0;0;1;0
Collado Mediano;0;0;1;0
Collado Villalba;1;3;12;0
Colmenar Viejo;0;2;11;0
Colmenar de Oreja;0;0;1;0
Colmenarejo;0;0;1;0
Coslada;1;2;19;0
Cubas de la Sagra;0;0;1;0
Daganzo de Arriba;0;0;1;0
Escorial (El);0;0;2;0
Estremera;0;0;1;0
Fuenlabrada;1;3;39;0
Fuente el Saz de Jarama;0;0;1;0
Fuentidueña de Tajo;0;0;1;0
Galapagar;0;0;5;0
Getafe;1;3;41;2
Griñón;0;0;3;0
Guadalix de la Sierra;0;0;1;0
Guadarrama;0;0;3;0
Hoyo de Manzanares;0;0;1;0
Humanes de Madrid;0;0;3;0
Leganés;1;3;46;0
Loeches;0;0;2;0
Lozoya;0;0;1;0
Madrid;23;59;644;21
Majadahonda;2;2;14;0
Manzanares el Real;0;0;1;0
Meco;0;0;1;0
Mejorada del Campo;0;0;6;0
Miraflores de la Sierra;0;0;2;0
Molar (El);0;0;1;0
Molinos (Los);0;0;1;0
Moraleja de Enmedio;0;0;1;0
Moralzarzal;0;0;2;0
Morata de Tajuña;0;0;1;0
Móstoles;1;3;46;0
Navacerrada;0;0;1;0
Navalcarnero;0;0;6;0
Navas del Rey;0;0;1;0
Nuevo Baztán;0;0;2;0
Paracuellos de Jarama;0;0;1;0
Parla;0;2;19;0
Perales de Tajuña;0;0;1;0
Pinto;1;1;9;0
Pozuelo de Alarcón;2;4;21;0
Rascafría;0;0;1;0
Rivas-Vaciamadrid;0;0;8;0
Robledo de Chavela;0;0;1;0
Rozas de Madrid (Las);1;1;16;0
Rozas de Puerto Real;0;0;1;0
San Agustín del Guadalix;0;0;1;0
San Fernando de Henares;0;1;9;0
San Lorenzo de El Escorial;0;1;6;0
San Martín de Valdeiglesias;0;0;1;0
San Martín de la Vega;1;0;3;0
San Sebastián de los Reyes;0;3;19;0
Sevilla la Nueva;0;0;1;0
Soto del Real;0;0;2;0
Tielmes;0;0;1;0
Titulcia;0;0;1;0
Torrejón de Ardoz;1;2;30;0
Torrejón de Velasco;0;0;1;0
Torrejón de la Calzada;0;0;2;0
Torrelaguna;0;0;2;0
Torrelodones;1;0;5;0
Torres de la Alameda;0;0;1;0
Tres Cantos;0;1;11;0
Valdeavero;0;0;1;0
Valdemorillo;0;0;1;0
Valdemoro;0;1;9;1
Valdeolmos-Alalpardo;0;0;1;0
Valdetorres de Jarama;0;0;1;0
Valdilecha;0;0;1;0
Velilla de San Antonio;0;0;1;0
Villa del Prado;0;0;1;0
Villaconejos;0;0;1;0
Villalbilla;0;0;1;0
Villamanta;0;0;1;0
Villanueva de la Cañada;0;1;3;0
Villanueva del Pardillo;0;0;1;0
Villarejo de Salvanés;0;0;3;0
Villaviciosa de Odón;0;0;6;0
Alamo (El);0;0;2;0
