municipio_nombre;2015;2016;2017;2018;2019;2020;2021;2022;2023
Acebeda (La);2.97;3.02;3.02;2.97;3.84;3.11;2.51;2.83;3.06
Ajalvir;219.34;224.24;225.00;230.25;237.98;238.43;242.07;243.69;246.21
Alameda del Valle;8.43;8.08;7.73;7.58;7.77;7.93;9.63;9.40;10.68
Alamo (El);407.31;409.68;415.67;424.94;430.26;448.07;451.89;458.88;467.88
Alcalá de Henares;2258.78;2226.47;2208.32;2201.97;2223.54;2245.28;2222.64;2227.62;2254.21
Alcobendas;2497.35;2503.64;2537.31;2563.22;2585.38;2615.79;2582.17;2583.06;2639.08
Alcorcón;4974.29;4980.77;5004.20;5044.70;5074.82;5130.48;5106.40;5102.23;5144.20
Aldea del Fresno;49.04;49.99;50.61;52.20;54.90;57.52;59.55;62.51;65.93
Algete;530.91;535.20;538.05;539.47;543.11;549.78;545.56;545.56;551.67
Alpedrete;1124.55;1137.88;1123.91;1133.70;1150.36;1171.19;1197.95;1198.50;1219.57
Ambite;23.93;23.04;26.22;23.28;22.93;23.59;25.68;25.56;26.72
Anchuelo;55.53;56.22;57.29;58.86;58.82;59.51;63.17;62.80;63.81
Aranjuez;307.49;306.24;307.73;312.08;315.10;318.93;318.00;317.90;322.45
Arganda del Rey;678.95;675.50;670.08;679.21;689.60;705.65;701.13;713.70;729.87
Arroyomolinos;1290.05;1354.01;1399.71;1444.11;1508.70;1582.65;1622.15;1679.58;1734.84
Atazar (El);3.38;3.34;3.41;3.27;3.13;3.16;3.83;3.76;3.66
Batres;73.34;73.99;75.30;76.61;78.77;81.85;85.03;85.97;87.98
Becerril de la Sierra;181.93;183.38;183.99;187.59;192.65;198.08;205.53;208.50;211.29
Belmonte de Tajo;67.46;66.63;67.58;67.54;69.07;69.86;72.60;73.72;76.46
Berrueco (El);21.74;26.45;26.13;26.06;26.73;27.33;28.49;28.67;28.88
Berzosa del Lozoya;13.81;13.53;13.88;13.53;14.01;15.17;14.56;15.52;14.97
Boadilla del Monte;1027.06;1047.84;1083.66;1108.15;1149.08;1194.65;1242.37;1318.70;1361.02
Boalo (El);181.28;183.00;183.35;184.38;187.09;190.95;199.50;204.93;210.04
Braojos;8.14;8.06;8.34;8.22;8.22;8.26;8.74;8.74;8.50
Brea de Tajo;12.51;12.51;12.04;11.73;11.71;11.30;11.82;12.13;12.27
Brunete;211.30;210.81;210.79;215.32;218.17;218.65;217.42;219.71;223.37
Buitrago del Lozoya;71.81;71.66;71.39;72.20;72.55;75.43;74.82;75.16;75.24
Bustarviejo;42.12;42.17;42.69;44.23;44.54;44.88;48.15;48.17;48.97
Cabanillas de la Sierra;53.04;52.03;51.52;51.52;54.70;56.80;60.85;63.24;67.80
Cabrera (La);116.16;115.52;115.97;117.92;120.35;123.47;125.27;127.48;130.78
Cadalso de los Vidrios;57.80;58.24;63.78;63.69;63.48;63.65;67.41;67.16;67.22
Camarma de Esteruelas;202.61;200.23;201.19;205.23;208.35;211.22;214.03;215.42;221.02
Campo Real;94.71;95.26;96.99;98.29;100.47;103.87;104.11;107.78;108.57
Canencia;8.56;8.32;8.27;7.81;8.25;8.25;8.43;8.43;8.56
Carabaña;42.31;40.86;40.70;39.96;42.16;43.65;45.48;46.86;47.95
Casarrubuelos;664.42;672.10;683.52;694.19;707.49;720.04;739.70;746.63;767.60
Cenicientos;29.81;29.09;29.06;29.00;29.78;29.85;30.44;30.47;30.58
Cercedilla;189.63;188.79;191.64;194.30;196.48;201.48;204.56;210.49;213.98
Cervera de Buitrago;14.20;13.59;13.51;12.90;12.99;14.03;13.68;14.37;14.20
Chapinería;84.43;86.62;87.05;87.64;91.08;94.44;97.54;98.12;101.64
Chinchón;46.91;45.68;45.22;45.21;46.00;46.71;47.84;48.95;48.93
Ciempozuelos;479.77;481.33;480.60;487.69;497.91;508.28;507.59;510.31;519.78
Cobeña;335.56;336.81;344.21;349.83;356.94;359.73;356.75;361.56;370.11
Collado Mediano;297.12;296.40;300.14;305.31;313.28;319.90;330.84;335.66;336.02
Collado Villalba;2460.59;2442.39;2464.39;2500.95;2524.94;2552.66;2549.44;2571.09;2627.28
Colmenar Viejo;260.14;262.43;265.68;270.51;277.36;283.85;286.73;291.38;301.13
Colmenar de Oreja;63.84;62.85;61.77;62.50;63.53;64.49;66.61;67.71;69.21
Colmenar del Arroyo;32.67;33.10;33.10;34.17;34.98;36.20;38.11;39.32;39.63
Colmenarejo;283.62;283.97;286.19;289.65;289.84;293.02;298.86;302.98;306.51
Corpa;25.77;25.89;26.35;26.85;27.47;27.85;28.58;29.74;30.66
Coslada;7225.19;7026.85;6900.33;6804.66;6788.11;6765.67;6765.42;6698.09;6662.18
Cubas de la Sagra;455.43;462.87;473.80;489.15;497.13;506.90;512.17;518.76;527.67
Daganzo de Arriba;228.34;229.77;232.09;231.61;234.92;237.96;242.36;244.77;244.04
Escorial (El);222.93;223.25;226.13;230.19;234.84;237.79;242.39;243.14;246.70
Estremera;17.05;16.65;15.92;15.61;15.91;16.84;17.41;17.78;18.30
Fresnedillas de la Oliva;54.68;54.43;54.54;54.68;55.31;58.09;60.98;62.67;63.30
Fresno de Torote;64.22;64.32;66.55;68.63;69.89;72.34;75.90;76.71;78.92
Fuenlabrada;4977.81;4952.08;4964.78;4937.16;4940.07;4960.83;4912.32;4851.19;4827.52
Fuente el Saz de Jarama;194.15;193.04;193.67;197.20;201.87;205.22;207.05;212.06;218.87
Fuentidueña de Tajo;32.44;32.14;32.87;32.96;34.09;35.46;36.91;37.34;37.52
Galapagar;495.00;496.69;504.34;511.63;517.20;528.77;531.16;534.33;541.05
Garganta de los Montes;9.09;8.70;8.20;8.62;8.60;9.34;10.18;9.81;10.38
Gargantilla del Lozoya y Pinilla de Buitrago;14.50;13.43;13.02;13.14;13.06;12.77;14.38;15.83;16.03
Gascones;8.77;8.52;8.77;9.37;9.62;8.77;9.52;10.57;11.32
Getafe;2222.91;2245.00;2265.70;2296.95;2330.33;2353.29;2336.66;2352.51;2383.09
Griñón;580.00;581.17;588.30;595.20;603.45;610.23;613.39;614.39;619.82
Guadalix de la Sierra;100.13;99.19;100.30;101.46;103.03;106.78;109.38;110.76;112.97
Guadarrama;271.69;270.82;273.12;276.01;280.33;289.56;289.96;294.98;298.02
Hiruela (La);3.15;3.15;3.03;2.80;3.32;3.79;4.25;4.43;4.31
Horcajo de la Sierra-Aoslos;7.49;6.74;6.69;6.97;6.83;7.16;7.96;9.38;11.03
Horcajuelo de la Sierra;3.69;3.61;3.69;3.73;3.61;3.73;4.44;4.57;4.53
Hoyo de Manzanares;174.18;176.06;177.54;181.74;186.43;188.53;191.62;194.92;198.30
Humanes de Madrid;985.93;993.55;995.78;994.77;1002.69;1000.56;999.75;1003.66;1007.31
Leganés;4321.55;4327.70;4340.35;4356.65;4389.85;4418.82;4362.71;4349.64;4415.58
Loeches;185.16;189.13;192.22;195.56;198.22;200.61;201.04;202.82;206.38
Lozoya;10.27;9.96;9.66;9.66;10.04;10.02;10.35;10.37;10.73
Lozoyuela-Navas-Sieteiglesias;23.37;23.51;24.03;24.60;25.24;26.03;27.43;28.33;28.62
Madarcos;5.26;5.49;5.37;5.49;5.61;5.72;6.66;7.36;8.41
Madrid;5193.55;5232.47;5261.30;5328.00;5398.73;5512.13;5417.45;5400.22;5521.13
Majadahonda;1839.44;1838.27;1852.40;1865.03;1866.10;1874.64;1875.11;1880.88;1892.26
Manzanares el Real;65.02;65.63;66.51;67.27;69.17;69.92;72.17;72.61;73.52
Meco;379.66;384.15;388.27;399.40;409.30;419.74;428.04;434.88;442.09
Mejorada del Campo;1275.88;1275.77;1278.44;1294.76;1296.60;1316.94;1318.83;1324.57;1344.46
Miraflores de la Sierra;102.87;101.93;103.05;104.46;108.20;112.70;116.71;118.81;123.83
Molar (El);160.05;164.57;169.11;172.60;178.01;184.96;185.32;187.95;194.80
Molinos (Los);226.75;228.00;226.54;225.65;228.83;231.13;239.78;247.97;252.45
Montejo de la Sierra;11.61;11.15;11.05;11.27;10.96;11.30;11.05;11.58;11.77
Moraleja de Enmedio;161.78;159.79;156.14;160.98;164.67;166.72;171.08;173.87;176.53
Moralzarzal;280.44;284.09;286.93;291.55;299.10;306.18;312.22;319.17;323.83
Morata de Tajuña;164.45;166.55;165.09;166.66;169.53;173.15;174.49;175.60;178.40
Móstoles;4586.68;4572.25;4593.93;4605.18;4651.63;4676.65;4639.36;4637.14;4682.94
Navacerrada;103.71;104.79;88.69;89.21;91.08;94.73;99.05;99.11;100.92
Navalafuente;98.52;103.86;109.93;114.60;118.87;123.95;130.11;131.67;137.16
Navalagamella;32.49;31.97;32.24;34.32;34.44;34.80;35.77;37.53;39.73
Navalcarnero;264.37;267.16;273.27;280.55;290.40;297.20;304.25;310.82;316.73
Navarredonda y San Mamés;4.77;4.63;4.60;4.28;4.53;4.53;4.95;5.02;5.37
Navas del Rey;52.00;52.61;54.43;55.78;57.74;58.69;60.51;61.85;64.19
Nuevo Baztán;303.08;299.11;302.73;305.86;311.93;320.78;331.91;342.45;354.17
