;distancia
Acebeda (La);88.477
Ajalvir;34.911
Alameda del Valle;92.242
Alamo (El);42.104
Alcalá de Henares;32.760
Alcobendas;18.193
Alcorcón;18.087
Aldea del Fresno;56.001
Algete;32.758
Alpedrete;43.979
Ambite;54.784
Anchuelo;42.201
Aranjuez;48.903
Arganda del Rey;28.644
Arroyomolinos;31.450
Atazar (El);84.846
Batres;37.802
Becerril de la Sierra;50.448
Belmonte de Tajo;57.499
Berrueco (El);66.347
Berzosa del Lozoya;82.228
Boadilla del Monte;24.652
Boalo (El);55.387
Braojos;83.276
Brea de Tajo;65.168
Brunete;38.308
Buitrago del Lozoya;76.377
Bustarviejo;64.721
Cabanillas de la Sierra;55.486
Cabrera (La);60.420
Cadalso de los Vidrios;89.965
Camarma de Esteruelas;37.479
Campo Real;34.635
Canencia;82.184
Carabaña;53.449
Casarrubuelos;33.936
Cenicientos;95.124
Cercedilla;57.007
Cervera de Buitrago;82.105
Chapinería;57.258
Chinchón;45.592
Ciempozuelos;35.540
Cobeña;34.590
Collado Mediano;47.487
Collado Villalba;42.565
Colmenar Viejo;32.965
Colmenar de Oreja;57.211
Colmenar del Arroyo;61.175
Colmenarejo;37.111
Corpa;46.516
Coslada;12.887
Cubas de la Sagra;36.177
Daganzo de Arriba;36.597
Escorial (El);51.323
Estremera;72.696
Fresnedillas de la Oliva;69.753
Fresno de Torote;46.990
Fuenlabrada;25.824
Fuente el Saz de Jarama;36.187
Fuentidueña de Tajo;63.685
Galapagar;35.516
Garganta de los Montes;79.318
Gargantilla del Lozoya y Pinilla de Buitrago;81.426
Gascones;80.024
Getafe;17.416
Griñón;33.337
Guadalix de la Sierra;58.847
Guadarrama;50.794
Hiruela (La);97.734
Horcajo de la Sierra-Aoslos;89.479
Horcajuelo de la Sierra;94.536
Hoyo de Manzanares;36.584
Humanes de Madrid;31.246
Leganés;16.847
Loeches;28.433
Lozoya;85.605
Lozoyuela-Navas-Sieteiglesias;68.104
Madarcos;92.498
Madrid;0.000
Majadahonda;19.700
Manzanares el Real;51.894
Meco;48.983
Mejorada del Campo;21.041
Miraflores de la Sierra;55.446
Molar (El);43.648
Molinos (Los);55.681
Montejo de la Sierra;87.651
Moraleja de Enmedio;27.170
Moralzarzal;46.641
Morata de Tajuña;34.745
Móstoles;24.488
Navacerrada;52.561
Navalafuente;59.831
Navalagamella;56.822
Navalcarnero;36.609
Navarredonda y San Mamés;85.319
Navas del Rey;60.506
Nuevo Baztán;48.300
Olmeda de las Fuentes;53.406
Orusco de Tajuña;57.456
Paracuellos de Jarama;24.676
Parla;23.672
Patones;65.895
Pedrezuela;45.794
Pelayos de la Presa;71.930
Perales de Tajuña;40.166
Pezuela de las Torres;51.574
Pinilla del Valle;91.312
Pinto;23.546
Piñuécar-Gandullas;83.028
Pozuelo de Alarcón;18.056
Pozuelo del Rey;41.510
Prádena del Rincón;85.383
Puebla de la Sierra;103.620
Puentes Viejas;75.189
Quijorna;45.968
Rascafría;95.391
Redueña;56.050
Ribatejada;51.730
Rivas-Vaciamadrid;16.274
Robledillo de la Jara;79.092
Robledo de Chavela;74.920
Robregordo;89.533
Rozas de Madrid (Las);19.981
Rozas de Puerto Real;92.193
San Agustín del Guadalix;36.132
San Fernando de Henares;18.348
San Lorenzo de El Escorial;62.624
San Martín de Valdeiglesias;78.770
San Martín de la Vega;30.402
San Sebastián de los Reyes;20.284
Santa María de la Alameda;70.111
Santorcaz;45.724
Santos de la Humosa (Los);46.496
Serna del Monte (La);80.844
Serranillos del Valle;35.694
Sevilla la Nueva;42.875
Somosierra;93.268
Soto del Real;44.268
Talamanca de Jarama;47.636
Tielmes;45.405
Titulcia;40.449
Torrejón de Ardoz;22.712
Torrejón de Velasco;29.513
Torrejón de la Calzada;27.728
Torrelaguna;60.357
Torrelodones;30.262
Torremocha de Jarama;64.681
Torres de la Alameda;37.051
Tres Cantos;24.566
Valdaracete;58.985
Valdeavero;47.888
Valdelaguna;50.708
Valdemanco;65.264
Valdemaqueda;80.311
Valdemorillo;49.031
Valdemoro;28.750
Valdeolmos-Alalpardo;37.129
Valdepiélagos;51.502
Valdetorres de Jarama;41.951
Valdilecha;45.871
Valverde de Alcalá;42.548
Velilla de San Antonio;21.480
Vellón (El);48.389
Venturada;52.667
Villa del Prado;66.911
Villaconejos;55.549
Villalbilla;39.662
Villamanrique de Tajo;64.302
Villamanta;47.225
Villamantilla;53.900
Villanueva de Perales;50.249
Villanueva de la Cañada;43.204
Villanueva del Pardillo;28.830
Villar del Olmo;48.941
Villarejo de Salvanés;50.672
Villaviciosa de Odón;26.157
Villavieja del Lozoya;80.015
Zarzalejo;65.280
