municipio_nombre;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Acebeda (La);5;-;-;-;-;-;-;-;-;-;-;-;0;0;0
Ajalvir;597;681;584;458;361;308;248;210;189;304;343;337;410;305;330
Alameda del Valle;-;-;-;-;-;-;-;-;-;-;-;-;5;5;5
Alamo (El);248;258;205;190;185;187;195;216;236;284;273;247;265;290;290
Alcalá de Henares;4984;4864;3624;3132;2749;3021;3070;3611;4229;4970;5314;5504;5690;6045;5910
Alcobendas;5243;5555;5017;4602;4361;4389;4070;4216;4160;4435;4192;4048;4080;3900;3970
Alcorcón;4740;4498;4072;3661;3052;3247;3697;4143;4267;4980;5164;4924;5280;5330;5385
Aldea del Fresno;89;92;89;81;57;67;77;69;74;72;76;93;115;130;135
Algete;1888;1847;1500;1191;1166;985;974;940;950;974;1053;1061;1080;1160;1125
Alpedrete;422;303;265;185;186;186;197;254;284;301;332;345;380;370;375
Ambite;14;12;8;8;7;8;6;7;8;9;8;16;10;10;10
Anchuelo;37;35;26;18;13;20;34;42;32;33;26;22;25;20;20
Aranjuez;825;821;654;559;498;733;599;763;789;878;798;793;970;1000;1000
Arganda del Rey;2138;1990;1764;1552;1492;1507;1587;1791;2139;2460;2593;2686;2920;3105;3285
Arroyomolinos;715;830;817;625;646;782;898;1111;1261;1349;1343;1435;1560;1635;1715
Atazar (El);-;-;5;6;5;-;-;-;6;-;-;-;5;5;5
Batres;37;33;25;29;34;24;26;24;27;39;50;45;35;60;65
Becerril de la Sierra;220;191;187;144;122;130;135;132;141;153;165;172;195;170;180
Belmonte de Tajo;31;32;33;36;28;32;17;24;23;24;27;30;30;25;25
Berrueco (El);40;40;28;25;22;19;26;20;20;27;33;35;30;25;25
Berzosa del Lozoya;6;-;5;-;-;-;5;-;-;5;8;7;5;10;10
Boadilla del Monte;1067;1157;1001;863;849;775;869;937;1086;1193;1239;1192;1350;1765;1930
Boalo (El);233;232;173;158;147;157;151;187;210;220;237;254;280;285;300
Braojos;14;13;14;14;10;10;9;10;10;9;12;9;5;5;5
Brea de Tajo;8;11;8;-;5;6;5;5;8;7;-;5;5;5;5
Brunete;192;184;167;138;124;127;150;158;184;229;246;214;220;235;265
Buitrago del Lozoya;44;45;45;43;39;33;31;38;49;41;47;50;95;85;80
Bustarviejo;91;64;47;42;37;43;50;43;44;42;37;43;45;40;35
Cabanillas de la Sierra;27;25;27;25;29;29;28;34;24;25;27;30;35;40;25
