municipio_nombre;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Acebeda (La);-;-;-;-;-;-;-;-;-;-;-;-;0;0;0
Ajalvir;1992;1741;1747;1643;1704;1553;1701;1710;1698;1749;1801;1646;1715;1650;1740
Alameda del Valle;-;-;-;-;-;-;-;-;-;-;-;-;0;0;0
Alamo (El);209;206;177;125;99;87;90;89;98;105;106;98;115;110;135
Alcalá de Henares;10309;9563;9017;8497;8048;8103;8411;8952;9294;9436;10019;10098;10315;10675;11430
Alcobendas;18908;18573;17950;16046;16047;16781;15711;15217;15801;12976;13111;12470;13105;13565;14295
Alcorcón;4391;4131;4127;3832;3540;3299;3483;3363;3583;3878;3962;3830;4065;4060;4245
Aldea del Fresno;15;13;10;11;8;9;10;14;12;9;9;11;10;10;10
Algete;1628;1806;1828;1636;1644;1665;1708;1790;1846;1861;1961;2004;2005;2080;2120
Alpedrete;71;83;89;82;86;77;80;94;100;116;111;116;110;115;125
Ambite;-;-;-;-;-;-;-;-;-;-;-;-;5;5;5
Anchuelo;6;9;7;7;12;12;12;14;14;12;9;18;25;25;30
Aranjuez;2130;2019;1954;1635;1644;1565;1584;1560;1659;1795;1644;1549;1585;1610;1660
Arganda del Rey;8028;7869;7751;7049;6871;6740;6997;7382;7580;7646;7582;7120;7395;7325;7270
Arroyomolinos;193;224;235;255;287;321;321;347;361;420;426;436;430;410;365
Atazar (El);-;-;-;-;-;-;-;-;-;-;-;-;0;0;0
Batres;17;15;15;16;15;17;16;20;18;16;20;21;25;25;20
Becerril de la Sierra;49;36;36;30;33;30;30;26;28;32;32;34;30;25;25
Belmonte de Tajo;52;48;47;42;41;45;45;52;59;52;46;48;45;45;40
Berrueco (El);-;-;-;-;-;-;-;-;-;-;-;-;5;5;5
Berzosa del Lozoya;-;-;-;-;-;-;-;-;-;-;-;-;0;0;0
Boadilla del Monte;534;573;590;476;438;431;404;480;506;448;529;486;535;585;590
Boalo (El);139;111;120;97;92;103;105;102;121;103;108;98;110;110;115
Braojos;-;-;-;-;-;-;-;-;-;-;-;-;5;5;0
Brea de Tajo;-;-;-;-;-;-;-;-;-;-;-;-;5;5;5
Brunete;118;85;79;71;88;94;90;87;81;78;78;73;70;60;50
Buitrago del Lozoya;43;26;15;10;8;8;7;6;6;7;6;-;5;5;5
Bustarviejo;14;15;13;10;10;11;16;16;19;18;22;26;25;25;30
Cabanillas de la Sierra;6;6;-;-;-;-;-;-;-;-;-;-;5;5;0
Cabrera (La);40;40;17;16;21;27;26;21;19;18;21;21;20;20;20
Cadalso de los Vidrios;98;94;90;82;83;79;72;73;65;71;84;68;65;60;65
Camarma de Esteruelas;1321;1071;951;854;624;482;535;536;537;567;586;615;670;700;640
Campo Real;346;509;472;453;420;385;431;432;485;481;498;520;520;555;545
Canencia;-;-;-;-;-;-;-;-;-;-;-;-;5;5;5
Carabaña;25;31;26;20;13;14;13;18;18;23;23;28;25;40;40
Casarrubuelos;101;107;96;100;75;84;93;106;124;140;154;190;210;230;230
Cenicientos;23;31;22;16;13;19;16;14;19;12;6;7;10;5;5
Cercedilla;48;43;36;36;28;29;36;31;34;33;30;26;35;30;35
Cervera de Buitrago;-;-;-;-;-;-;-;-;-;-;-;-;0;0;0
Chapinería;37;22;22;27;27;30;38;42;40;41;41;37;40;45;35
Chinchón;106;80;127;115;112;110;106;124;130;170;163;149;175;180;205
Ciempozuelos;653;604;506;455;441;467;506;505;549;509;536;528;605;685;735
Cobeña;190;194;211;187;172;190;165;179;183;192;208;203;195;195;210
Collado Mediano;69;67;51;52;45;51;51;52;58;60;55;57;60;65;65
Collado Villalba;836;747;673;591;586;597;670;724;707;725;673;685;690;685;725
Colmenar Viejo;1472;1446;1377;1212;1209;1212;1300;1371;1417;1323;1283;1251;1395;1450;1475
Colmenar de Oreja;230;221;205;188;204;181;197;206;216;199;177;173;165;170;170
Colmenar del Arroyo;14;12;11;9;6;7;6;-;85;77;94;92;110;120;150
Colmenarejo;43;44;42;34;34;29;18;19;22;27;72;64;60;25;25
Corpa;38;36;38;28;22;19;24;22;20;26;26;15;20;20;15
Coslada;3708;3531;3353;2943;2791;2500;2571;2523;2497;3177;3071;2882;2900;2955;3040
Cubas de la Sagra;241;237;230;224;223;214;244;262;273;300;424;402;320;330;320
Daganzo de Arriba;1086;961;922;833;754;796;855;895;912;936;1004;990;1065;1090;995
Escorial (El);108;105;99;103;92;89;82;84;90;76;72;75;70;70;80
Estremera;-;-;-;-;-;9;11;10;18;20;23;24;10;15;15
Fresnedillas de la Oliva;7;8;6;5;8;8;11;11;8;9;11;11;10;10;5
Fresno de Torote;21;20;16;16;12;9;10;13;20;19;24;27;25;25;30
Fuenlabrada;10148;9915;8910;8038;7578;7512;7809;7922;8341;8353;7931;7614;7875;7880;7900
Fuente el Saz de Jarama;494;389;375;350;335;331;336;426;422;430;426;434;475;430;440
Fuentidueña de Tajo;73;63;56;61;69;68;73;71;72;74;75;76;80;70;75
Galapagar;124;125;124;127;115;112;113;109;123;135;133;147;145;140;135
Garganta de los Montes;8;8;12;6;11;12;9;14;11;13;16;13;15;15;15
Gargantilla del Lozoya y Pinilla de Buitrago;6;6;5;5;-;-;-;-;-;-;-;-;5;5;5
Gascones;-;-;-;-;-;-;-;-;-;-;-;-;5;5;5
Getafe;11996;11859;12457;11925;11955;12083;12254;14140;14513;15741;15523;14800;15245;16350;17075
Griñón;1295;1307;1252;1174;1098;1073;1133;1186;1169;1192;1258;1260;1285;1215;1345
Guadalix de la Sierra;66;74;66;55;55;51;52;49;39;46;52;51;50;50;50
Guadarrama;94;85;84;81;74;72;91;95;96;103;107;118;120;175;170
Hiruela (La);-;-;-;-;-;-;-;-;-;-;-;-;0;0;0
