municipio_nombre;2015;2016;2017;2018;2019;2020
Acebeda (La);3340;3776;3836;3536;4393;3934
Ajalvir;272693;282569;299158;287279;301935;274506
Alameda del Valle;4361;4325;4057;4445;4898;4904
Alamo (El);129096;127523;126549;125456;136296;122196
Alcalá de Henares;4534788;4769258;5062118;5162892;5406446;4904527
Alcobendas;7394440;7619760;7907516;8234450;8322264;7522247
Alcorcón;3364140;3567637;3790078;3857304;4145914;3741286
Aldea del Fresno;36691;38442;40376;40407;44153;41241
Algete;522727;535754;573291;600210;630277;563255
Alpedrete;173849;185924;197668;200799;216726;194642
Ambite;8159;7846;7622;6816;6637;7658
Anchuelo;14822;15169;16173;15563;15653;14273
Aranjuez;1115080;1217020;1249799;1340056;1373120;1258068
Arganda del Rey;1664095;1745816;1863539;1993474;2163648;1929897
Arroyomolinos;442332;515999;557371;598675;720473;665736
Atazar (El);2586;3201;3029;2626;2885;2383
Batres;16464;16677;17038;16893;20097;18756
Becerril de la Sierra;72523;75761;78820;78893;83928;76364
Belmonte de Tajo;21351;20727;22132;21398;22844;21418
Berrueco (El);17016;16769;18535;18322;19804;19323
Berzosa del Lozoya;4619;5008;4957;5418;4324;3938
Boadilla del Monte;1110931;1209484;1261318;1343160;1420077;1330509
Boalo (El);90669;92742;99608;110075;113933;103089
Braojos;13907;14628;16929;17138;15238;12031
Brea de Tajo;11464;10692;10906;11724;10673;9238
Brunete;144352;152801;156297;166215;176363;158113
Buitrago del Lozoya;43950;46304;52278;52619;54526;49174
Bustarviejo;35396;37207;36488;36449;35073;31388
Cabanillas de la Sierra;11146;10432;10729;9634;10044;9507
Cabrera (La);40245;42417;43177;47724;49746;46092
Cadalso de los Vidrios;56862;54703;56179;52864;56872;57230
Camarma de Esteruelas;150972;169060;173651;171839;172267;153652
Campo Real;130881;141351;144891;148301;148226;133092
Canencia;7447;7678;8144;8238;8388;7315
Carabaña;22536;22917;26201;26319;27705;23611
Casarrubuelos;48012;50885;53748;59669;62063;56381
Cenicientos;29388;28489;28236;29338;26566;27120
Cercedilla;133286;132880;137874;139364;141812;134343
Cervera de Buitrago;2816;2486;2331;2210;2462;2798
Chapinería;27671;26344;30038;30537;32504;29482
Chinchón;90002;90431;94094;100158;105675;91937
Ciempozuelos;580263;637729;673738;713213;662720;602739
Cobeña;105574;114159;114959;119653;121943;119406
Collado Mediano;90072;97010;100342;102573;109177;98196
Collado Villalba;1037036;1130758;1144280;1183159;1222469;1062756
Colmenar Viejo;879715;926396;1083939;1101321;1206177;1185193
Colmenar de Oreja;121511;128827;133896;132809;124967;107756
Colmenar del Arroyo;37498;36955;44224;50887;49805;48657
Colmenarejo;163695;198014;193787;198856;214733;209230
Corpa;5972;5668;5401;5331;6324;6362
Coslada;2059529;2186983;2281757;2400980;2631082;2237496
Cubas de la Sagra;71548;79261;88095;89566;99493;90103
Daganzo de Arriba;296746;306244;317630;316265;337265;299369
Escorial (El);225041;235453;238861;249214;264279;239593
Estremera;55364;56555;60427;63704;66633;70239
Fresnedillas de la Oliva;15734;16133;17831;18838;18469;16634
Fresno de Torote;19231;22416;23880;23451;21384;18540
