municipio_nombre;2015;2016;2017;2018;2019;2020;2021;2022;2023
Acebeda (La);3;3;3;2;2;0;0;0;0
Ajalvir;6;8;9;9;8;10;12;11;11
Alameda del Valle;7;6;5;4;4;5;5;5;3
Alamo (El);22;19;18;22;14;14;13;18;17
Alcalá de Henares;47;50;58;67;76;64;59;62;56
Alcobendas;45;42;44;53;59;51;58;63;66
Alcorcón;36;35;33;36;39;36;28;28;24
Aldea del Fresno;27;25;24;23;23;23;22;22;25
Algete;30;30;28;26;26;26;27;27;28
Alpedrete;5;4;3;5;4;6;7;6;8
Ambite;8;8;9;7;7;6;6;6;7
Anchuelo;8;8;8;8;9;8;8;8;6
Aranjuez;130;123;114;109;102;99;100;96;98
Arganda del Rey;58;50;49;48;41;39;45;40;37
Arroyomolinos;6;7;8;7;10;10;9;11;8
Atazar (El);0;0;0;0;0;0;0;0;0
Batres;1;1;1;4;2;1;1;1;2
Becerril de la Sierra;10;10;9;8;10;9;8;8;7
Belmonte de Tajo;10;9;10;9;8;9;8;7;9
Berrueco (El);0;0;0;0;0;0;0;0;0
Berzosa del Lozoya;0;1;1;1;1;1;0;0;0
Boadilla del Monte;17;20;14;17;19;21;23;29;31
Boalo (El);22;24;24;23;22;24;22;22;22
Braojos;6;6;7;6;6;6;5;4;4
Brea de Tajo;15;13;15;15;15;15;14;15;15
Brunete;27;32;29;30;28;23;25;25;26
Buitrago del Lozoya;7;6;7;5;10;10;7;8;7
Bustarviejo;17;17;16;16;18;16;16;14;11
Cabanillas de la Sierra;5;7;6;5;7;5;5;4;4
Cabrera (La);2;2;2;1;0;2;1;3;3
Cadalso de los Vidrios;19;14;16;14;13;14;16;15;13
Camarma de Esteruelas;10;8;10;11;11;8;11;8;5
Campo Real;16;15;12;14;11;9;10;11;11
Canencia;8;8;8;6;7;8;8;8;7
Carabaña;10;12;12;14;14;11;9;8;8
Casarrubuelos;4;4;3;3;2;2;2;2;2
Cenicientos;27;29;23;24;26;26;27;24;23
Cercedilla;7;11;9;8;10;8;6;6;7
Cervera de Buitrago;0;0;0;0;0;0;0;0;0
Chapinería;5;7;6;4;4;4;5;4;4
Chinchón;148;136;124;119;114;111;105;103;105
Ciempozuelos;49;54;48;44;43;44;42;40;39
Cobeña;14;16;17;17;15;18;19;18;20
