municipio_nombre;2015;2016;2017;2018;2019;2020;2021;2022;2023
Acebeda (La);0;0;0;0;1;1;0;0;0
Ajalvir;14;15;16;16;17;19;22;21;24
Alameda del Valle;0;0;0;0;0;0;0;0;0
Alamo (El);8;10;8;6;5;7;8;8;9
Alcalá de Henares;97;102;101;108;118;107;117;113;112
Alcobendas;115;109;119;123;111;88;94;98;100
Alcorcón;146;146;148;161;161;157;151;146;141
Aldea del Fresno;0;0;0;1;1;0;0;0;1
Algete;13;17;20;18;16;17;16;17;18
Alpedrete;19;21;13;10;16;9;9;10;11
Ambite;0;0;0;0;0;0;0;0;0
Anchuelo;1;1;0;0;1;0;0;0;0
Aranjuez;46;39;38;38;39;35;38;36;33
Arganda del Rey;111;113;113;120;118;118;109;119;116
Arroyomolinos;18;21;23;21;18;16;17;23;22
Atazar (El);0;0;0;0;0;0;0;0;0
Batres;0;0;0;0;0;0;0;0;0
Becerril de la Sierra;2;3;2;1;1;2;3;3;2
Belmonte de Tajo;47;46;57;56;47;39;39;30;31
Berrueco (El);1;1;1;1;1;1;1;2;2
Berzosa del Lozoya;0;0;0;0;0;0;0;0;0
Boadilla del Monte;22;26;23;22;24;25;24;25;27
Boalo (El);4;3;3;4;5;5;5;6;4
Braojos;0;0;0;0;0;0;0;0;0
Brea de Tajo;1;2;2;2;2;2;2;2;2
Brunete;9;12;18;13;11;13;12;13;9
Buitrago del Lozoya;2;2;2;2;1;1;0;0;1
Bustarviejo;3;3;3;7;7;7;9;8;8
Cabanillas de la Sierra;0;0;0;0;0;0;0;0;0
Cabrera (La);2;4;5;5;4;2;3;2;2
Cadalso de los Vidrios;11;9;9;11;12;14;9;11;10
Camarma de Esteruelas;4;5;6;8;9;11;10;13;12
Campo Real;31;31;30;27;28;28;28;27;27
Canencia;0;0;0;0;0;0;0;0;0
Carabaña;2;4;4;4;2;1;1;1;1
Casarrubuelos;3;1;1;1;1;1;1;0;0
Cenicientos;4;3;4;4;3;3;2;3;3
Cercedilla;6;7;9;8;8;8;9;10;9
Cervera de Buitrago;0;0;0;0;0;0;0;0;0
Chapinería;2;1;2;2;2;1;1;1;3
Chinchón;18;15;19;20;24;24;23;20;19
Ciempozuelos;19;20;19;20;20;21;26;24;24
Cobeña;6;5;6;5;4;2;2;2;3
Collado Mediano;3;3;3;4;5;3;2;2;3
Collado Villalba;29;33;33;39;41;31;26;24;30
Colmenar Viejo;51;50;63;63;75;64;62;66;63
Colmenar de Oreja;23;21;24;29;33;33;32;28;23
Colmenar del Arroyo;0;0;0;1;1;1;2;2;1
Colmenarejo;4;5;5;4;5;3;2;1;1
Corpa;1;1;1;1;1;1;1;1;1
Coslada;52;56;52;55;46;41;44;40;39
Cubas de la Sagra;3;3;5;5;6;6;7;9;8
Daganzo de Arriba;11;11;11;11;12;12;16;14;10
Escorial (El);18;16;14;14;15;15;16;18;16
Estremera;0;0;0;0;0;0;0;0;0
Fresnedillas de la Oliva;4;3;3;3;4;5;4;5;5
Fresno de Torote;0;0;0;0;0;1;0;0;0
Fuenlabrada;178;176;169;182;179;168;164;157;154
Fuente el Saz de Jarama;3;5;4;5;4;6;7;6;7
Fuentidueña de Tajo;1;1;1;1;2;3;3;2;2
Galapagar;19;18;17;18;21;17;20;24;22
Garganta de los Montes;0;0;0;1;1;1;1;1;1
Gargantilla del Lozoya y Pinilla de Buitrago;0;1;1;1;1;1;1;1;1
Gascones;0;0;0;0;0;0;1;1;1
Getafe;115;119;121;138;133;109;110;104;95
Griñón;17;20;26;30;23;18;17;14;15
Guadalix de la Sierra;2;2;2;3;3;3;5;3;2
Guadarrama;13;13;14;13;14;18;19;15;17
Hiruela (La);0;0;0;0;0;0;0;0;0
Horcajo de la Sierra-Aoslos;0;0;0;0;0;0;0;0;0
Horcajuelo de la Sierra;0;0;0;0;0;0;0;0;0
Hoyo de Manzanares;3;3;3;3;4;5;6;8;8
Humanes de Madrid;89;102;95;99;94;101;97;90;87
Leganés;163;172;221;257;269;298;265;170;165
Loeches;11;14;15;12;15;13;13;15;13
Lozoya;0;0;0;0;0;0;0;0;0
Lozoyuela-Navas-Sieteiglesias;0;0;1;3;2;2;2;2;1
Madarcos;1;1;1;3;2;1;1;1;1
Madrid;2123;2113;2206;2315;2407;2376;2314;2316;2331
Majadahonda;24;23;27;32;38;48;47;48;45
Manzanares el Real;4;1;2;4;4;6;9;9;8
Meco;8;11;13;14;12;12;11;11;14
Mejorada del Campo;24;23;25;26;27;32;30;34;35
Miraflores de la Sierra;13;12;13;13;15;17;16;13;8
Molar (El);9;9;8;9;8;9;7;8;9
Molinos (Los);4;6;4;5;5;6;6;5;4
Montejo de la Sierra;1;0;0;0;0;0;0;0;0
Moraleja de Enmedio;16;41;48;53;22;17;17;13;13
Moralzarzal;4;4;6;6;6;7;6;10;13
Morata de Tajuña;13;14;12;15;11;9;8;9;8
Móstoles;153;166;157;161;159;126;117;114;110
Navacerrada;2;4;3;3;3;2;2;2;2
Navalafuente;4;2;3;3;3;3;2;2;2
Navalagamella;0;0;1;1;1;1;1;1;0
Navalcarnero;33;35;34;37;33;34;36;34;35
Navarredonda y San Mamés;1;1;1;0;0;0;0;0;0
Navas del Rey;4;4;4;5;6;4;3;3;3
Nuevo Baztán;4;4;4;4;4;4;4;3;2
Olmeda de las Fuentes;1;1;1;1;1;1;0;0;0
Orusco de Tajuña;0;0;1;0;2;1;0;0;0
Paracuellos de Jarama;97;109;115;109;110;18;18;23;24
Parla;42;38;38;50;44;45;49;51;57
Patones;0;0;0;0;0;0;0;0;0
Pedrezuela;11;8;6;8;9;6;7;7;8
Pelayos de la Presa;4;4;5;8;7;8;10;9;9
Perales de Tajuña;8;7;6;5;7;7;6;5;7
Pezuela de las Torres;0;0;1;1;1;1;0;0;0
Pinilla del Valle;0;0;0;0;0;0;0;0;0
Pinto;39;38;37;38;38;38;38;44;44
Piñuécar-Gandullas;0;0;0;0;0;0;0;0;0
