municipio_nombre;2015;2016;2017;2018;2019;2020;2021;2022;2023
Acebeda (La);13;13;11;9;11;13;10;11;11
Ajalvir;284;296;305;296;294;289;293;291;281
Alameda del Valle;14;13;12;13;13;13;11;11;14
Alamo (El);231;228;227;228;215;217;242;248;241
Alcalá de Henares;4943;5055;4924;4924;4893;4863;4734;4761;4668
Alcobendas;3506;3485;3489;3514;3567;3540;3499;3555;3503
Alcorcón;4191;4204;4165;4200;4124;4181;4109;4202;4155
Aldea del Fresno;58;56;53;57;63;59;57;60;54
Algete;615;621;616;626;616;586;602;611;609
Alpedrete;332;329;330;332;336;336;359;352;352
Ambite;11;13;12;13;14;15;14;18;14
Anchuelo;29;31;33;32;29;28;31;29;32
Aranjuez;1506;1502;1506;1500;1480;1473;1439;1444;1415
Arganda del Rey;1743;1712;1697;1714;1675;1704;1708;1761;1705
Arroyomolinos;687;738;763;758;833;846;849;895;893
Atazar (El);5;5;5;3;3;3;3;2;2
Batres;10;12;15;20;22;24;27;34;32
Becerril de la Sierra;164;172;165;161;164;165;165;166;165
Belmonte de Tajo;29;25;22;23;24;22;23;23;24
Berrueco (El);21;23;23;22;23;23;21;20;23
Berzosa del Lozoya;7;9;8;9;7;8;8;8;8
Boadilla del Monte;1110;1124;1140;1163;1199;1252;1263;1317;1338
Boalo (El);164;160;171;167;163;162;160;157;164
Braojos;10;11;9;11;10;12;12;7;8
Brea de Tajo;20;21;21;19;19;15;13;12;12
Brunete;255;264;255;257;272;281;256;280;271
Buitrago del Lozoya;99;105;102;112;111;99;98;100;105
Bustarviejo;69;69;69;69;71;76;75;75;80
Cabanillas de la Sierra;21;27;25;27;28;20;17;21;20
Cabrera (La);108;106;104;105;103;106;104;111;107
Cadalso de los Vidrios;83;80;80;78;76;71;76;74;68
Camarma de Esteruelas;154;165;172;176;170;174;177;174;170
Campo Real;187;187;193;190;197;201;204;210;212
Canencia;15;17;16;16;17;14;11;11;12
Carabaña;50;49;48;48;48;49;52;57;53
Casarrubuelos;75;81;84;92;97;92;105;104;102
Cenicientos;51;48;53;52;51;50;53;52;49
Cercedilla;229;235;235;228;241;241;242;239;245
Cervera de Buitrago;6;7;8;8;6;7;7;5;4
Chapinería;71;70;67;70;68;65;69;72;67
Chinchón;230;235;242;241;245;238;232;231;228
Ciempozuelos;544;537;534;523;522;523;529;537;530
Cobeña;117;127;135;135;138;133;144;148;155
Collado Mediano;160;164;144;141;149;144;137;138;143
Collado Villalba;1856;1873;1869;1859;1849;1812;1789;1811;1755
Colmenar Viejo;1296;1337;1298;1264;1287;1224;1205;1240;1243
Colmenar de Oreja;212;209;191;187;188;190;189;193;189
Colmenar del Arroyo;44;45;48;52;47;49;47;51;46
Colmenarejo;149;156;136;130;125;130;130;146;146
Corpa;7;7;9;7;8;8;8;9;7
Coslada;2211;2214;2193;2145;2117;2075;2044;2050;1987
Cubas de la Sagra;78;94;95;83;89;91;91;90;95
Daganzo de Arriba;264;285;288;276;274;261;259;255;252
Escorial (El);314;326;320;327;343;336;333;347;356
Estremera;46;49;47;47;43;41;41;45;48
Fresnedillas de la Oliva;30;27;27;31;36;33;29;26;28
Fresno de Torote;29;29;25;25;25;28;23;29;37
Fuenlabrada;6428;6568;6617;6646;6643;6626;6451;6518;6457
Fuente el Saz de Jarama;253;250;243;247;250;245;242;247;243
Fuentidueña de Tajo;51;51;46;49;49;42;45;46;44
Galapagar;568;614;585;588;585;573;566;589;575
Garganta de los Montes;11;11;10;11;13;12;7;11;11
Gargantilla del Lozoya y Pinilla de Buitrago;21;24;21;22;17;14;15;16;16
Gascones;10;13;10;13;11;10;11;13;11
Getafe;4009;4060;4045;4004;4000;4050;3989;4094;4046
Griñón;405;426;418;418;411;417;416;409;401
Guadalix de la Sierra;165;160;164;162;155;162;158;159;153
Guadarrama;446;455;449;468;451;453;441;449;443
Hiruela (La);8;8;10;6;6;11;13;14;15
Horcajo de la Sierra-Aoslos;13;12;10;10;8;9;11;11;9
Horcajuelo de la Sierra;3;4;4;5;3;2;5;8;5
Hoyo de Manzanares;175;171;183;174;183;169;168;168;170
Humanes de Madrid;1138;1135;1169;1174;1193;1211;1198;1200;1182
Leganés;4679;4649;4590;4683;4616;4510;4457;4507;4431
Loeches;263;264;275;272;285;276;264;279;277
Lozoya;29;31;31;27;27;23;21;28;26
Lozoyuela-Navas-Sieteiglesias;51;51;50;53;56;54;56;57;57
Madarcos;1;1;2;1;1;0;0;0;3
Madrid;89478;89534;89486;90006;89895;88867;86361;87704;86710
Majadahonda;1857;1831;1846;1806;1789;1792;1777;1779;1768
Manzanares el Real;165;169;158;165;178;163;175;184;175
Meco;260;267;274;296;310;317;306;329;334
Mejorada del Campo;645;655;689;696;698;688;691;692;684
Miraflores de la Sierra;178;174;175;174;174;165;173;170;165
Molar (El);241;239;226;232;218;218;217;222;216
Molinos (Los);108;105;110;107;103;99;99;108;116
Montejo de la Sierra;19;16;15;14;16;18;13;14;13
Moraleja de Enmedio;222;215;224;230;221;220;217;226;214
Moralzarzal;305;323;329;334;341;327;325;329;333
Morata de Tajuña;166;167;163;162;158;156;157;157;168
Móstoles;4428;4367;4290;4230;4190;4092;3979;4075;4010
Navacerrada;156;162;146;148;147;137;137;132;126
Navalafuente;21;25;23;23;22;23;25;23;22
