municipio_nombre;2015;2016;2017;2018;2019;2020;2021;2022;2023
Acebeda (La);1;1;2;2;2;1;2;1;1
Ajalvir;83;91;84;88;95;99;94;99;92
Alameda del Valle;0;0;1;1;1;1;1;1;1
Alamo (El);127;123;118;127;139;145;148;158;171
Alcalá de Henares;1650;1582;1640;1783;1861;1946;2027;2045;2032
Alcobendas;770;772;784;803;829;857;878;881;878
Alcorcón;1412;1408;1427;1459;1519;1561;1593;1655;1660
Aldea del Fresno;35;34;33;38;40;44;50;56;57
Algete;205;216;219;217;229;241;232;249;251
Alpedrete;125;142;155;161;156;178;179;205;202
Ambite;7;5;5;7;9;8;8;11;12
Anchuelo;15;12;20;17;18;17;13;13;12
Aranjuez;336;361;357;370;382;394;406;463;482
Arganda del Rey;729;761;779;824;889;913;919;1004;1001
Arroyomolinos;361;390;413;459;476;509;522;552;553
Atazar (El);1;1;2;2;2;2;2;2;2
Batres;15;14;13;14;17;17;24;19;29
Becerril de la Sierra;103;102;95;96;95;101;112;109;105
Belmonte de Tajo;13;13;18;15;18;22;22;21;21
Berrueco (El);10;9;7;8;10;15;18;16;14
Berzosa del Lozoya;1;1;1;2;2;3;3;3;9
Boadilla del Monte;351;351;374;399;404;415;424;447;464
Boalo (El);104;97;101;106;115;121;124;133;132
Braojos;11;11;10;8;7;6;5;3;3
Brea de Tajo;5;6;6;7;6;5;6;6;5
Brunete;105;117;118;134;141;152;143;153;156
Buitrago del Lozoya;31;27;27;30;31;32;33;37;37
Bustarviejo;36;37;40;38;33;32;37;39;37
Cabanillas de la Sierra;12;12;15;10;10;11;13;11;10
Cabrera (La);41;51;41;42;49;50;51;54;56
Cadalso de los Vidrios;60;54;55;53;58;58;59;63;67
Camarma de Esteruelas;113;116;103;108;113;112;128;143;151
Campo Real;103;102;107;106;117;102;99;107;108
Canencia;21;21;23;20;22;20;21;17;14
Carabaña;25;30;33;30;40;41;42;41;43
Casarrubuelos;56;72;73;80;73;80;80;83;83
Cenicientos;21;19;19;21;19;22;27;27;22
Cercedilla;116;115;111;120;114;110;120;125;130
Cervera de Buitrago;1;1;0;0;0;0;0;2;2
Chapinería;44;40;42;38;45;43;39;39;42
Chinchón;63;65;57;60;62;59;59;55;54
Ciempozuelos;210;225;221;246;259;273;277;278;279
