municipio_nombre;2015;2016;2017;2018;2019;2020;2021;2022;2023
Acebeda (La);1;1;1;1;1;1;1;0;0
Ajalvir;19;21;24;19;17;18;16;16;18
Alameda del Valle;0;0;0;0;0;0;0;1;1
Alamo (El);17;19;20;22;18;17;18;18;16
Alcalá de Henares;399;384;379;396;392;412;386;369;354
Alcobendas;414;433;444;467;463;475;494;478;488
Alcorcón;318;322;316;320;310;329;305;287;275
Aldea del Fresno;6;6;5;6;7;7;6;7;6
Algete;58;55;55;51;52;59;59;56;53
Alpedrete;37;32;32;35;34;37;32;33;30
Ambite;1;1;1;1;0;0;1;1;1
Anchuelo;3;3;3;4;3;4;2;3;4
Aranjuez;93;97;101;98;104;93;96;99;94
Arganda del Rey;97;102;111;113;107;109;108;100;95
Arroyomolinos;62;56;59;66;70;68;72;79;77
Atazar (El);1;1;1;1;1;1;1;0;0
Batres;2;4;4;5;4;5;5;4;4
Becerril de la Sierra;14;16;24;22;21;17;15;16;17
Belmonte de Tajo;3;2;2;2;2;2;2;3;2
Berrueco (El);1;1;1;0;0;0;0;0;0
Berzosa del Lozoya;0;0;0;0;0;0;0;0;0
Boadilla del Monte;178;195;194;203;222;220;217;233;224
Boalo (El);10;9;9;12;14;13;14;16;15
Braojos;1;0;0;0;0;0;0;0;0
Brea de Tajo;1;1;1;1;1;1;1;1;1
Brunete;17;20;18;17;17;21;21;21;20
Buitrago del Lozoya;7;7;8;8;6;6;6;4;5
Bustarviejo;7;6;6;5;4;3;3;4;3
Cabanillas de la Sierra;0;0;0;0;1;2;1;2;1
Cabrera (La);2;2;2;2;1;2;2;5;5
Cadalso de los Vidrios;5;5;6;5;5;7;7;7;6
Camarma de Esteruelas;15;17;20;19;21;22;20;18;19
Campo Real;14;15;13;14;14;15;13;10;11
Canencia;1;0;0;0;0;0;0;0;0
Carabaña;3;2;1;2;3;4;3;0;0
Casarrubuelos;11;8;11;13;9;11;9;8;7
Cenicientos;7;6;9;8;6;6;6;7;7
Cercedilla;8;11;13;11;9;10;12;12;13
Cervera de Buitrago;0;0;0;0;0;0;0;0;0
Chapinería;4;3;4;2;2;3;3;3;4
Chinchón;13;13;13;14;13;12;12;11;13
Ciempozuelos;32;31;33;31;28;33;29;31;24
Cobeña;11;10;14;13;12;14;12;12;13
Collado Mediano;18;20;25;20;17;17;19;19;19
Collado Villalba;153;152;151;155;156;154;141;127;119
Colmenar Viejo;99;89;93;97;89;78;82;80;79
Colmenar de Oreja;10;12;14;14;14;14;15;15;15
Colmenar del Arroyo;3;3;3;4;2;2;2;1;1
Colmenarejo;20;23;23;24;23;20;25;28;24
Corpa;0;1;0;0;0;0;0;0;1
Coslada;159;159;158;166;163;149;142;133;138
Cubas de la Sagra;13;15;15;15;14;16;16;15;16
Daganzo de Arriba;20;23;25;23;24;28;25;27;26
Escorial (El);24;26;33;35;29;28;30;31;27
Estremera;4;5;4;4;4;5;4;3;3
Fresnedillas de la Oliva;4;5;8;6;4;3;3;1;2
Fresno de Torote;3;2;2;2;2;2;3;3;1
Fuenlabrada;342;349;337;337;343;335;326;292;293
Fuente el Saz de Jarama;20;17;18;17;17;19;18;19;20
Fuentidueña de Tajo;8;8;8;8;6;7;5;5;5
Galapagar;73;73;76;82;80;77;81;76;72
Garganta de los Montes;0;0;0;0;0;0;0;0;0
Gargantilla del Lozoya y Pinilla de Buitrago;0;0;0;0;0;0;0;0;0
Gascones;0;0;0;1;1;1;1;0;0
Getafe;297;304;309;329;326;335;335;306;289
Griñón;22;21;22;26;26;28;27;26;27
Guadalix de la Sierra;11;10;10;9;10;11;12;11;12
Guadarrama;29;32;32;31;36;37;41;34;30
Hiruela (La);0;0;0;0;0;0;0;0;0
Horcajo de la Sierra-Aoslos;1;1;0;1;0;0;0;0;0
Horcajuelo de la Sierra;0;0;0;0;0;0;0;0;0
Hoyo de Manzanares;15;14;18;19;20;18;16;23;23
Humanes de Madrid;29;28;29;27;27;25;25;28;27
Leganés;360;370;369;356;340;341;326;309;314
Loeches;12;13;16;16;16;19;20;17;16
Lozoya;4;4;4;4;3;4;3;3;3
Lozoyuela-Navas-Sieteiglesias;2;4;3;3;4;4;5;5;6
Madarcos;0;0;0;0;0;0;0;0;0
Madrid;9958;10098;10217;10404;10506;10734;10608;10610;10566
Majadahonda;262;269;289;298;291;294;287;300;305
Manzanares el Real;21;22;23;26;26;30;26;24;21
Meco;21;22;17;17;20;22;23;24;23
Mejorada del Campo;33;31;31;29;31;34;32;28;31
Miraflores de la Sierra;10;9;10;9;11;11;13;13;14
Molar (El);21;15;17;18;17;15;14;13;13
Molinos (Los);13;13;9;8;9;9;10;7;7
Montejo de la Sierra;0;0;0;0;0;0;0;0;0
Moraleja de Enmedio;9;9;10;10;10;9;7;4;4
Moralzarzal;20;23;24;23;24;29;30;26;28
Morata de Tajuña;18;19;19;18;16;17;16;15;17
Móstoles;379;375;377;352;342;361;340;326;324
Navacerrada;7;7;7;7;7;9;9;7;6
Navalafuente;2;2;3;3;2;3;3;2;2
Navalagamella;7;6;7;5;7;5;4;5;4
Navalcarnero;51;59;56;61;60;61;53;49;53
