municipio_nombre;2015;2016;2017;2018;2019;2020;2021;2022;2023
Acebeda (La);0;0;0;0;0;1;1;1;0
Ajalvir;113;109;118;116;106;115;116;104;109
Alameda del Valle;0;0;0;0;0;0;0;0;0
Alamo (El);24;23;20;20;21;22;21;18;17
Alcalá de Henares;287;279;267;272;295;296;296;278;277
Alcobendas;104;108;116;117;110;122;117;110;103
Alcorcón;135;144;146;150;151;157;165;160;162
Aldea del Fresno;1;1;0;0;0;1;2;3;1
Algete;65;63;64;62;64;65;68;68;71
Alpedrete;7;9;12;14;15;16;16;14;14
Ambite;0;0;0;0;0;0;0;0;0
Anchuelo;2;2;2;3;3;2;4;4;4
Aranjuez;66;65;69;75;68;65;64;66;59
Arganda del Rey;443;422;426;453;457;453;429;408;390
Arroyomolinos;41;42;40;47;52;53;52;52;51
Atazar (El);0;0;0;0;0;0;0;0;0
Batres;2;2;2;2;2;3;3;5;4
Becerril de la Sierra;2;2;2;2;4;4;5;4;4
Belmonte de Tajo;1;2;3;2;3;2;1;2;1
Berrueco (El);0;0;0;0;0;0;0;0;0
Berzosa del Lozoya;0;0;0;0;0;0;0;0;0
Boadilla del Monte;35;37;37;37;38;36;33;32;30
Boalo (El);11;11;10;9;10;9;10;12;12
Braojos;0;0;0;0;0;0;0;0;0
Brea de Tajo;0;0;0;1;1;1;1;1;2
Brunete;6;5;4;4;4;5;3;2;2
Buitrago del Lozoya;4;2;1;1;2;0;0;0;0
Bustarviejo;1;1;1;2;2;2;2;2;2
Cabanillas de la Sierra;1;1;1;1;1;1;1;1;1
Cabrera (La);6;6;7;6;4;6;7;4;4
Cadalso de los Vidrios;2;3;3;2;2;2;2;2;3
Camarma de Esteruelas;42;46;48;51;44;46;43;43;41
Campo Real;36;37;36;40;35;43;40;38;37
Canencia;1;1;1;1;1;1;1;1;1
Carabaña;2;4;4;5;5;5;5;4;4
Casarrubuelos;6;9;11;12;15;15;13;12;15
Cenicientos;4;4;4;4;4;1;1;1;0
Cercedilla;5;6;5;6;6;5;6;8;8
Cervera de Buitrago;0;0;0;0;0;0;0;0;0
Chapinería;7;6;6;12;10;11;12;9;10
Chinchón;8;9;9;11;10;8;8;9;8
Ciempozuelos;44;48;44;48;50;54;55;60;58
Cobeña;13;12;9;11;11;11;9;15;15
Collado Mediano;9;10;9;9;9;8;6;5;5
Collado Villalba;60;53;54;63;63;68;67;66;62
Colmenar Viejo;56;51;51;48;43;39;44;48;49
Colmenar de Oreja;23;25;24;25;21;18;15;15;16
Colmenar del Arroyo;3;3;4;3;3;4;4;3;1
Colmenarejo;2;2;1;1;1;1;1;1;1
Corpa;2;2;2;2;4;3;1;1;1
Coslada;149;139;128;130;122;125;117;110;111
Cubas de la Sagra;20;25;22;19;17;19;20;19;22
Daganzo de Arriba;72;71;72;72;65;62;66;61;64
Escorial (El);4;4;4;4;5;3;3;3;3
Estremera;3;3;3;4;4;4;4;4;2
Fresnedillas de la Oliva;2;3;3;2;1;1;1;1;1
Fresno de Torote;3;3;4;4;3;4;4;3;3
Fuenlabrada;568;564;540;552;539;527;515;525;508
Fuente el Saz de Jarama;96;90;89;86;85;79;80;84;79
Fuentidueña de Tajo;2;2;1;1;2;2;3;3;3
Galapagar;11;6;4;7;10;10;11;13;14
Garganta de los Montes;1;1;1;0;0;0;0;0;0
Gargantilla del Lozoya y Pinilla de Buitrago;2;2;2;2;1;0;0;0;0
Gascones;0;0;0;0;0;0;0;0;0
Getafe;215;219;216;217;213;217;215;215;218
Griñón;69;72;80;81;86;80;78;86;83
Guadalix de la Sierra;10;11;10;8;9;10;10;10;9
Guadarrama;16;16;16;16;19;18;18;15;14
Hiruela (La);0;0;0;0;0;0;0;0;0
Horcajo de la Sierra-Aoslos;0;0;0;1;1;0;0;0;0
Horcajuelo de la Sierra;0;0;0;0;0;0;0;0;0
Hoyo de Manzanares;1;1;0;0;0;0;0;0;0
Humanes de Madrid;392;398;398;398;415;434;438;435;420
Leganés;219;216;222;215;228;224;224;221;211
Loeches;70;72;74;77;79;79;70;74;74
Lozoya;1;0;0;0;0;0;0;0;0
Lozoyuela-Navas-Sieteiglesias;2;5;4;4;4;5;5;5;5
Madarcos;0;0;0;0;0;0;0;0;0
Madrid;1753;1724;1697;1680;1658;1621;1595;1582;1576
Majadahonda;19;19;23;25;25;26;31;27;28
Manzanares el Real;5;3;4;1;2;4;3;2;3
Meco;39;41;38;44;46;49;44;47;48
Mejorada del Campo;162;153;149;153;155;151;147;143;134
Miraflores de la Sierra;4;5;3;5;6;7;7;6;6
Molar (El);15;18;16;16;16;16;15;16;15
Molinos (Los);5;4;4;5;4;5;5;5;4
Montejo de la Sierra;1;1;0;0;0;0;0;0;0
Moraleja de Enmedio;82;80;78;81;80;79;83;83;86
Moralzarzal;11;11;12;12;13;13;14;14;11
Morata de Tajuña;7;6;4;4;5;5;5;3;4
Móstoles;212;217;207;203;215;215;209;205;202
Navacerrada;4;4;3;3;4;4;3;2;2
Navalafuente;0;0;0;0;0;0;0;0;0
Navalagamella;0;0;0;1;0;1;0;0;0
Navalcarnero;69;69;66;63;62;61;62;60;61
Navarredonda y San Mamés;0;0;0;0;0;0;0;0;0
Navas del Rey;13;13;12;11;10;8;7;8;7
Nuevo Baztán;8;9;8;8;7;8;8;7;7
Olmeda de las Fuentes;0;0;0;0;0;0;0;0;0
Orusco de Tajuña;0;0;0;0;0;0;1;1;2
Paracuellos de Jarama;108;106;106;105;108;103;101;95;90
Parla;83;92;96;103;104;87;87;82;85
Patones;0;0;0;0;0;0;0;0;0
Pedrezuela;3;2;3;3;3;4;3;3;3
Pelayos de la Presa;0;0;0;0;0;0;0;0;0
Perales de Tajuña;8;8;9;7;7;7;7;7;6
Pezuela de las Torres;2;3;2;2;2;2;2;2;2
Pinilla del Valle;0;0;0;0;0;0;0;0;0
Pinto;188;180;170;167;169;164;169;168;166
Piñuécar-Gandullas;0;0;0;0;0;0;0;0;0
Pozuelo de Alarcón;32;32;34;34;29;36;37;37;39
Pozuelo del Rey;4;3;2;2;3;3;3;3;2
Prádena del Rincón;0;0;0;0;0;0;0;0;0
Puebla de la Sierra;0;0;0;0;0;0;0;0;0
Puentes Viejas;0;0;0;0;0;0;0;0;0
Quijorna;0;0;0;0;1;2;1;1;1
Rascafría;0;0;0;0;0;1;1;1;1
Redueña;0;0;0;0;0;0;0;1;1
Ribatejada;0;0;0;1;1;1;1;2;2
Rivas-Vaciamadrid;70;80;76;72;77;73;64;70;69
Robledillo de la Jara;0;0;0;0;0;0;0;0;0
Robledo de Chavela;3;4;4;4;4;4;4;4;4
Robregordo;0;0;0;0;0;0;0;0;0
Rozas de Madrid (Las);43;39;46;45;43;40;41;43;42
Rozas de Puerto Real;0;0;0;0;0;0;0;0;0
