municipio_nombre;2015;2016;2017;2018;2019;2020;2021;2022;2023
Acebeda (La);0;0;0;0;0;0;0;0;0
Ajalvir;7;6;4;4;3;2;4;4;3
Alameda del Valle;0;0;0;0;0;0;0;0;0
Alamo (El);0;0;0;0;0;1;1;1;2
Alcalá de Henares;42;38;42;38;41;35;40;35;38
Alcobendas;28;32;28;31;30;40;44;47;46
Alcorcón;13;13;13;20;16;21;18;23;21
Aldea del Fresno;3;2;2;1;1;1;1;1;1
Algete;6;7;8;9;10;12;11;11;11
Alpedrete;1;1;2;2;0;1;1;1;3
Ambite;1;1;1;1;1;1;1;1;1
Anchuelo;0;0;0;0;0;0;0;0;0
Aranjuez;11;11;12;13;12;17;15;15;15
Arganda del Rey;33;30;29;31;36;32;38;35;33
Arroyomolinos;3;3;4;3;2;3;6;7;10
Atazar (El);1;1;1;1;1;1;1;1;1
Batres;2;2;2;1;1;1;1;1;1
Becerril de la Sierra;0;0;0;0;0;0;0;0;0
Belmonte de Tajo;1;1;1;2;2;2;2;2;2
Berrueco (El);3;3;3;3;3;3;3;3;3
Berzosa del Lozoya;1;1;1;1;1;1;1;1;1
Boadilla del Monte;13;14;14;15;15;17;17;25;27
Boalo (El);1;1;1;1;1;1;2;2;2
Braojos;0;0;0;0;0;0;0;0;0
Brea de Tajo;1;1;1;1;1;1;1;1;1
Brunete;2;2;1;2;2;3;4;3;3
Buitrago del Lozoya;2;2;2;2;2;1;1;1;1
Bustarviejo;1;1;1;1;1;1;1;1;1
Cabanillas de la Sierra;1;1;1;1;1;1;1;1;1
Cabrera (La);2;1;1;1;1;1;2;3;3
Cadalso de los Vidrios;5;3;3;3;4;4;4;3;3
Camarma de Esteruelas;5;6;4;5;5;6;4;5;3
Campo Real;7;7;7;7;6;6;7;6;6
Canencia;0;0;0;0;0;0;0;0;0
Carabaña;1;1;1;1;1;1;1;1;1
Casarrubuelos;0;0;0;1;2;2;2;3;4
Cenicientos;2;2;2;2;2;2;2;1;1
Cercedilla;0;0;0;0;0;0;0;0;0
Cervera de Buitrago;1;1;1;1;1;1;1;1;1
Chapinería;1;1;1;1;1;1;1;1;2
Chinchón;5;3;3;4;4;3;3;4;4
Ciempozuelos;11;13;15;18;16;14;14;14;15
Cobeña;4;4;2;2;3;3;4;3;3
Collado Mediano;0;0;1;1;0;0;0;0;0
Collado Villalba;11;11;13;13;10;13;12;11;12
Colmenar Viejo;17;15;16;13;12;10;12;13;12
Colmenar de Oreja;11;11;12;11;10;7;11;8;9
Colmenar del Arroyo;2;2;1;2;2;2;2;2;2
Colmenarejo;3;3;3;3;3;3;3;3;4
Corpa;0;0;0;0;0;0;0;0;0
Coslada;8;8;9;11;12;12;11;13;13
Cubas de la Sagra;2;2;1;1;2;2;2;2;2
Daganzo de Arriba;3;3;3;4;4;4;3;2;2
Escorial (El);5;5;5;6;6;6;7;7;8
Estremera;2;1;1;4;4;4;4;3;3
Fresnedillas de la Oliva;2;2;2;2;2;2;2;2;1
Fresno de Torote;1;1;1;1;1;1;1;1;1
Fuenlabrada;27;29;30;31;32;33;32;32;33
Fuente el Saz de Jarama;3;3;5;4;3;2;2;4;4
Fuentidueña de Tajo;3;3;3;3;4;4;3;3;3
Galapagar;8;7;4;6;6;6;8;8;7
Garganta de los Montes;1;1;1;1;1;1;1;1;1
Gargantilla del Lozoya y Pinilla de Buitrago;1;1;1;1;1;1;1;1;1
Gascones;1;1;1;1;1;1;1;1;1
Getafe;18;21;22;23;21;23;28;28;28
Griñón;3;2;2;2;2;2;2;3;4
Guadalix de la Sierra;2;1;1;1;1;1;1;1;1
Guadarrama;2;2;2;3;3;2;3;5;4
Hiruela (La);1;1;1;1;1;1;1;1;1
Horcajo de la Sierra-Aoslos;2;2;2;2;2;2;2;2;2
Horcajuelo de la Sierra;1;1;1;1;1;1;1;1;1
Hoyo de Manzanares;2;2;2;2;2;2;2;2;2
Humanes de Madrid;10;9;8;8;12;9;9;10;10
Leganés;26;25;23;26;26;29;29;30;34
Loeches;5;5;4;5;7;4;7;6;6
Lozoya;0;0;0;0;0;0;0;0;0
Lozoyuela-Navas-Sieteiglesias;4;3;3;3;5;5;5;5;5
Madarcos;1;1;1;1;1;1;1;1;1
Madrid;493;486;495;494;522;536;584;658;738
Majadahonda;10;9;11;9;11;11;10;12;13
Manzanares el Real;1;1;1;1;1;1;1;1;3
Meco;5;5;7;6;6;7;8;7;7
Mejorada del Campo;7;6;8;10;10;10;10;9;9
Miraflores de la Sierra;2;2;2;3;3;1;1;2;1
Molar (El);4;3;3;2;2;5;3;3;3
Molinos (Los);0;0;0;0;0;0;0;0;1
Montejo de la Sierra;2;2;2;2;2;3;2;2;2
Moraleja de Enmedio;3;4;4;4;4;4;3;3;3
Moralzarzal;0;0;2;1;1;2;2;2;2
Morata de Tajuña;5;5;5;5;6;5;5;5;5
Móstoles;23;16;20;16;16;13;13;13;12
Navacerrada;1;1;1;1;1;1;1;0;0
Navalafuente;1;1;1;1;1;1;1;1;1
Navalagamella;1;1;2;2;2;2;2;2;2
Navalcarnero;8;8;7;5;4;3;3;4;4
Navarredonda y San Mamés;2;2;2;2;2;2;2;2;2
Navas del Rey;2;2;2;2;3;3;2;2;2
Nuevo Baztán;5;5;2;3;3;4;4;4;4
Olmeda de las Fuentes;0;0;0;0;0;0;0;0;0
Orusco de Tajuña;2;2;2;2;2;2;2;2;1
Paracuellos de Jarama;6;7;8;10;12;11;11;12;12
Parla;8;8;9;15;13;13;13;12;10
Patones;0;0;0;0;0;0;0;0;0
Pedrezuela;1;1;0;0;0;0;0;0;0
Pelayos de la Presa;0;0;0;0;0;0;0;1;2
Perales de Tajuña;4;4;4;6;6;6;5;5;5
Pezuela de las Torres;1;1;1;1;1;1;1;1;1
Pinilla del Valle;1;1;1;1;1;1;1;1;1
Pinto;15;13;13;13;15;13;13;12;12
Piñuécar-Gandullas;2;2;2;2;2;2;2;2;2
Pozuelo de Alarcón;16;17;14;16;21;22;20;16;24
Pozuelo del Rey;1;1;1;1;2;2;2;2;1
Prádena del Rincón;1;1;1;1;1;1;1;1;1
Puebla de la Sierra;1;1;1;1;1;1;1;1;1
Puentes Viejas;6;6;6;6;6;6;6;6;6
Quijorna;3;3;3;3;3;2;2;1;1
Rascafría;0;0;0;0;0;0;0;0;0
Redueña;1;1;1;1;1;1;1;1;1
Ribatejada;0;0;0;0;0;0;0;0;0
Rivas-Vaciamadrid;19;16;14;16;15;18;17;18;21
Robledillo de la Jara;1;1;1;1;1;1;1;1;1
Robledo de Chavela;2;2;2;2;2;2;2;2;1
Robregordo;1;1;1;1;1;1;1;1;1
Rozas de Madrid (Las);19;16;18;20;23;18;26;27;30
Rozas de Puerto Real;2;1;1;1;1;1;1;1;1
San Agustín del Guadalix;7;4;5;4;4;4;4;6;6
San Fernando de Henares;16;19;18;18;17;18;14;17;17
San Lorenzo de El Escorial;4;4;5;4;6;5;7;5;8
San Martín de Valdeiglesias;8;8;7;7;7;8;6;7;5
San Martín de la Vega;14;17;21;18;17;20;15;16;17
San Sebastián de los Reyes;30;34;33;31;34;28;24;28;30
Santa María de la Alameda;6;6;6;6;6;6;6;6;7
Santorcaz;0;0;0;0;0;0;0;0;0
Santos de la Humosa (Los);2;2;2;2;2;2;2;2;2
Serna del Monte (La);0;0;0;0;0;0;0;0;0
Serranillos del Valle;2;2;2;3;3;3;2;3;4
Sevilla la Nueva;4;3;3;2;2;2;3;3;2
Somosierra;1;1;1;1;1;1;1;1;1
Soto del Real;0;0;0;0;0;1;1;0;0
Talamanca de Jarama;2;2;2;2;2;2;2;2;2
Tielmes;1;0;0;0;0;0;0;0;0
Titulcia;1;1;1;1;1;1;1;1;1
Torrejón de Ardoz;17;17;19;21;24;23;23;21;21
Torrejón de Velasco;4;4;5;4;5;5;5;4;4
Torrejón de la Calzada;2;1;1;2;2;2;3;3;2
Torrelaguna;2;2;2;2;2;2;2;2;2
Torrelodones;2;2;2;2;1;3;1;2;1
Torremocha de Jarama;2;2;2;2;2;2;2;3;3
Torres de la Alameda;2;2;2;3;3;2;3;2;2
Tres Cantos;5;5;5;5;7;6;7;10;10
Valdaracete;2;2;2;2;1;1;1;1;1
Valdeavero;0;0;0;0;0;1;0;0;0
Valdelaguna;1;1;1;1;1;1;1;2;1
Valdemanco;1;1;2;2;3;3;3;3;2
Valdemaqueda;1;1;1;1;1;1;1;1;1
Valdemorillo;5;5;4;4;5;5;5;5;7
Valdemoro;10;13;12;12;12;13;10;10;12
Valdeolmos-Alalpardo;0;0;0;0;0;0;0;0;0
Valdepiélagos;1;1;1;1;1;1;1;1;1
Valdetorres de Jarama;2;2;2;2;2;2;2;1;1
Valdilecha;5;6;5;6;5;5;4;4;4
Valverde de Alcalá;1;2;1;2;1;3;3;2;2
Velilla de San Antonio;6;5;4;4;3;4;2;3;3
Vellón (El);2;2;2;2;2;2;2;2;2
Venturada;1;1;1;1;1;2;3;3;3
Villa del Prado;2;2;2;2;2;2;2;3;4
Villaconejos;2;1;1;1;2;2;3;2;2
Villalbilla;7;9;5;8;8;8;6;7;7
Villamanrique de Tajo;2;2;2;3;2;2;2;2;2
Villamanta;1;1;1;1;2;2;2;2;1
Villamantilla;1;1;1;1;1;1;1;1;1
Villanueva de Perales;0;0;0;0;0;0;0;0;0
Villanueva de la Cañada;7;7;6;7;7;7;11;10;7
Villanueva del Pardillo;0;0;0;1;2;4;4;5;7
Villar del Olmo;1;1;1;1;1;3;2;2;2
Villarejo de Salvanés;2;2;3;2;2;2;2;2;2
Villaviciosa de Odón;11;14;11;10;9;11;12;13;10
Villavieja del Lozoya;0;0;0;0;0;0;0;0;0
Zarzalejo;4;4;4;4;4;4;4;4;4
