municipio_nombre;2015;2016;2017;2018;2019;2020;2021;2022;2023
Acebeda (La);0;0;0;0;0;0;0;0;0
Ajalvir;50;53;54;57;57;58;59;65;70
Alameda del Valle;0;0;0;0;0;0;0;0;1
Alamo (El);81;83;73;68;75;77;78;83;80
Alcalá de Henares;918;952;976;991;1008;1015;1060;1094;1102
Alcobendas;516;514;519;538;553;584;571;565;562
Alcorcón;1061;1040;1019;1003;1030;1059;1102;1090;1083
Aldea del Fresno;4;4;5;4;10;10;9;9;9
Algete;132;140;135;130;140;140;143;142;144
Alpedrete;55;60;61;55;51;54;54;61;63
Ambite;4;4;3;2;3;4;3;4;6
Anchuelo;18;17;15;14;15;15;14;16;16
Aranjuez;146;153;147;165;190;193;192;211;211
Arganda del Rey;347;375;391;413;428;465;490;498;495
Arroyomolinos;239;243;260;277;277;290;303;318;338
Atazar (El);0;0;0;0;0;0;0;0;0
Batres;17;18;19;18;22;21;24;23;21
Becerril de la Sierra;29;31;33;31;33;27;25;26;25
Belmonte de Tajo;5;5;8;8;10;10;9;10;9
Berrueco (El);3;2;2;2;2;2;3;3;3
Berzosa del Lozoya;0;1;1;1;0;0;0;0;0
Boadilla del Monte;161;166;178;178;172;185;197;210;220
Boalo (El);28;26;28;27;27;28;30;30;32
Braojos;5;4;4;4;4;5;5;5;5
Brea de Tajo;2;2;2;4;4;4;3;4;4
Brunete;58;58;59;54;48;46;49;48;58
Buitrago del Lozoya;10;10;11;12;12;9;9;9;8
Bustarviejo;11;11;11;9;8;8;7;9;8
Cabanillas de la Sierra;1;1;2;1;2;3;2;3;1
Cabrera (La);10;9;9;12;11;11;11;9;10
Cadalso de los Vidrios;12;9;12;11;11;11;14;14;12
Camarma de Esteruelas;88;80;83;87;89;87;85;97;96
Campo Real;76;88;82;84;84;78;74;81;74
Canencia;1;1;1;1;2;2;2;2;2
Carabaña;17;17;18;20;24;22;18;23;23
Casarrubuelos;43;38;40;41;39;39;40;40;34
Cenicientos;13;12;11;12;11;10;10;12;11
Cercedilla;17;17;15;14;19;19;20;18;20
Cervera de Buitrago;2;2;2;2;2;2;1;0;0
Chapinería;9;7;4;6;7;7;8;6;5
Chinchón;17;16;18;21;23;24;20;20;17
Ciempozuelos;120;118;140;152;148;148;156;159;166
Cobeña;46;50;52;51;49;49;49;54;54
Collado Mediano;22;18;23;20;23;26;32;30;36
Collado Villalba;250;248;252;265;288;284;305;313;300
Colmenar Viejo;146;137;144;152;142;145;159;188;193
Colmenar de Oreja;38;41;42;46;35;42;49;43;42
Colmenar del Arroyo;7;8;8;6;6;6;9;8;7
Colmenarejo;26;27;28;24;29;29;33;28;27
Corpa;4;5;6;5;5;6;6;6;5
Coslada;1131;1103;1120;1190;1329;1373;1235;1138;1052
Cubas de la Sagra;46;47;54;57;54;58;56;56;50
Daganzo de Arriba;113;116;110;118;127;123;125;122;121
Escorial (El);37;38;41;36;36;37;41;43;43
Estremera;15;17;17;15;16;14;14;15;13
Fresnedillas de la Oliva;9;10;12;8;7;7;6;8;7
Fresno de Torote;22;21;19;24;24;19;19;14;15
Fuenlabrada;1700;1726;1719;1746;1689;1648;1602;1558;1491
Fuente el Saz de Jarama;43;45;42;37;49;46;52;48;45
Fuentidueña de Tajo;11;10;11;11;21;22;21;20;18
Galapagar;92;91;92;101;115;116;112;113;114
Garganta de los Montes;3;2;2;3;1;1;0;0;0
Gargantilla del Lozoya y Pinilla de Buitrago;0;0;0;0;0;0;0;0;0
Gascones;5;5;6;5;5;7;6;6;6
Getafe;1156;1209;1299;1342;1390;1424;1477;1505;1511
Griñón;94;94;89;94;91;89;93;86;86
Guadalix de la Sierra;20;20;23;24;25;25;32;29;29
Guadarrama;44;44;52;56;57;63;61;66;71
Hiruela (La);0;0;0;0;0;0;0;0;0
