municipio_nombre,Centros Escolares Subindex,Contratos Subindex,Contratos por Tipo de Servicio Subindex,Índice de Igualdad Económica
Alcalá de Henares,1.621140334605275,0.6000000000000001,0.518305525420222,0.72
Alcobendas,2.4418280656742652,0.7505300353356891,0.9708418090920856,0.67
Alpedrete,0.19149751053236308,0.9,0.5331198557874788,0.91
Arganda del Rey,1.326677755722118,0.6351590106007068,0.7275863335901367,0.64
Arroyomolinos,0.0274333369911116,0.75565371024735,,0.57
Boadilla del Monte,0.9412246360249912,0.647879858657244,1.0,0.57
Casarrubuelos,0.32258064516129026,0.6386925795053005,,0.92
Collado Villalba,2.37339454310222,0.8551236749116607,0.5,0.59
Getafe,1.542962558842355,0.6438162544169612,0.6009696614414297,0.73
Humanes de Madrid,0.17337031900138697,0.7687279151943464,0.9273476363462705,0.6
Majadahonda,2.0375903123066523,0.7664310954063603,0.5820669724933585,0.61
Mejorada del Campo,0.370919881305638,0.6659010600706714,0.562928444004263,0.5
Paracuellos de Jarama,0.03670532961385992,0.6600706713780919,0.5937948772528199,0.57
Pinto,1.363387971654356,0.6448763250883394,0.7835909515794606,0.69
Pozuelo de Alarcón,2.686688187143771,0.7568904593639577,0.8274422455517227,0.84
Rivas-Vaciamadrid,0.0997555987829817,0.7438162544169613,0.5573001207879815,0.58
Rozas de Madrid (Las),0.8755017712099851,0.742756183745583,0.698166134349284,0.71
San Fernando de Henares,1.3328309641840395,0.6768551236749117,0.58672178660096,0.58
San Sebastián de los Reyes,1.5232468152760272,0.6630742049469966,0.6509284348392228,0.7
Torrejón de la Calzada,0.23934897079942558,0.7938162544169612,0.8436121726150645,0.63
Torrelodones,1.2813535718218487,0.6519434628975266,,1.0
Tres Cantos,1.0457277019885345,0.6853356890459363,0.8758977917975248,0.82
Valdemoro,1.0520089343879606,0.7038869257950531,0.5348066565775964,0.64
Velilla de San Antonio,0.11125945705384957,0.7383392226148411,0.7881414744224504,0.6
Villanueva del Pardillo,0.0653765690376569,0.886572438162544,0.6213663164428611,0.8
Villaviciosa de Odón,0.361881785283474,0.6494699646643111,0.8032730903074716,0.8
