municipio_nombre,Centros Escolares Subindex,Contratos Subindex,Índice de Calidad del Empleo,Contratos por Tipo de Servicio Subindex,Unidades Productivas Subindex,Índice de Diversidad Económica,Índice de Igualdad Económica
Alcalá de Henares,1.621140334605275,0.671420996818664,0.58,0.5291722122469851,0.5693698388415102,0.54,0.72
Alcobendas,2.4418280656742652,0.9,0.77,0.9226280821413522,0.5954443504750582,0.75,0.68
Alpedrete,0.19149751053236308,0.837168610816543,0.64,0.5096121048123945,0.5557990266150055,0.52,0.9
Arganda del Rey,1.326677755722118,0.7700424178154825,0.54,0.71816612749029,0.6832348490047199,0.69,0.64
Arroyomolinos,0.0274333369911116,0.7856309650053023,0.62,0.5944768776809939,0.6250596234313028,0.6,0.57
Boadilla del Monte,0.9412246360249912,0.7581124072110287,0.87,0.9045856524027172,0.5439349145869992,0.72,0.58
Casarrubuelos,0.32258064516129026,0.6,0.54,,0.6531345470368175,,0.92
Collado Villalba,2.37339454310222,0.7876988335100743,0.56,0.5,0.583396814752293,0.53,0.6
Getafe,1.542962558842355,0.6881230116648993,0.58,0.6036289013937908,0.5703937885169181,0.58,0.73
Humanes de Madrid,0.17337031900138697,0.8118769883351008,0.5,1.0,1.0,1.0,0.61
Majadahonda,2.0375903123066523,0.8823435843054082,0.82,0.5791682308487993,0.5432702907329076,0.55,0.61
Mejorada del Campo,0.370919881305638,0.8470307529162249,0.52,0.5618265073460875,0.6842441497191594,0.61,0.5
Paracuellos de Jarama,0.03670532961385992,0.7143690349946978,0.71,0.5728761303920724,0.6011006860156655,0.58,0.57
Pinto,1.363387971654356,0.6655355249204666,0.58,0.6942460676525442,0.6058857591161642,0.64,0.69
Pozuelo de Alarcón,2.686688187143771,0.7811770943796396,1.0,0.9413787561868905,0.5594535418158141,0.74,0.83
Rivas-Vaciamadrid,0.0997555987829817,0.81983032873807,0.65,0.538896323595198,0.5619296987008675,0.54,0.59
Rozas de Madrid (Las),0.8755017712099851,0.8395546129374337,0.81,0.8270518645169518,0.5675045525884737,0.69,0.71
San Fernando de Henares,1.3328309641840395,0.7277306468716861,0.56,0.5944766695352839,0.6755793452456562,0.62,0.59
San Sebastián de los Reyes,1.5232468152760272,0.7436373276776246,0.66,0.6403323574699278,0.6067121610361828,0.61,0.7
Torrejón de la Calzada,0.23934897079942558,0.7700424178154825,0.57,0.8345051834381321,0.6926209904885913,0.76,0.63
Torrelodones,1.2813535718218487,0.7059384941675504,0.83,0.5041392844529156,0.5232766370709436,0.5,1.0
Tres Cantos,1.0457277019885345,0.7813361611876989,0.77,0.8737082039259936,0.5,0.68,0.81
Valdemoro,1.0520089343879606,0.8382820784729585,0.57,0.5103489629076088,0.5858034024263508,0.54,0.64
Velilla de San Antonio,0.11125945705384957,0.8015376458112407,0.56,0.7349016530348484,0.6256247045204206,0.67,0.61
Villanueva del Pardillo,0.0653765690376569,0.8470307529162249,0.66,0.5957954422043898,0.531875709453473,0.55,0.81
Villaviciosa de Odón,0.361881785283474,0.699575821845175,0.76,0.8377657260531695,0.6306996448542379,0.73,0.8
