municipio_nombre,Centros Escolares Subindex,Nivel Estudios Subindex,Índice de Capital Humano,Contratos Subindex,Índice de Calidad del Empleo,Contratos por Tipo de Servicio Subindex,Unidades Productivas Subindex,Índice de Diversidad Económica,Índice de Igualdad Económica
Acebeda (La),,0.6983441435427444,,0.6788000000000001,0.79,0.5,1.0,0.87,
Alameda del Valle,,0.667168433750531,,0.71532,0.96,0.7370350045213092,0.5550682261208577,0.71,
Atazar (El),,0.6472553892810495,,0.8727,0.75,0.5545517795751178,0.5406698564593302,0.56,
Berrueco (El),,0.6617636721181196,,0.73848,0.68,0.6209327777264149,0.5465501990269792,0.62,0.56
Berzosa del Lozoya,,0.6507481803209514,,0.9,0.87,0.5091185324129066,0.5421052631578948,0.53,0.75
Braojos,,0.6786999220328891,,0.7304400000000001,0.78,0.5569742313990043,0.6238685886691251,0.63,
Brea de Tajo,,0.6344491390253185,,0.7329600000000001,0.55,0.5333824568407906,0.5792773469724468,0.58,0.62
Buitrago del Lozoya,1.5015015015015014,0.6742905769003738,0.58,0.65508,0.64,0.5526248420956426,0.574830220713073,0.59,0.54
Bustarviejo,0.5720823798627003,0.6678066263048094,0.54,0.7441800000000001,0.75,0.5373008943242277,0.5315386607579637,0.54,0.5
Cadalso de los Vidrios,0.533049040511727,0.6462777280918344,0.58,0.69342,0.53,0.6296730358353286,0.5414473684210527,0.62,0.55
Canencia,,0.6753624708082414,,0.70056,0.67,0.6744173115715344,0.5949656750572082,0.7,
Cenicientos,0.9057971014492755,0.6478488806078532,0.5,0.73938,0.5,0.5091500629845451,0.5518779047858309,0.54,0.58
Cervera de Buitrago,,0.6838710039799215,,0.7500000000000001,0.79,0.6049266376622688,0.5397368421052632,0.6,
Estremera,1.2690355329949237,0.6581614253276356,0.65,0.65418,0.54,0.6716871195928815,0.5817527596511557,0.68,0.56
Fresnedillas de la Oliva,,0.6599778970944855,,0.65502,0.56,0.503714794004192,0.5074327038971475,0.5,0.5
Fuentidueña de Tajo,0.7763975155279502,0.6741644272568234,0.57,0.6684000000000001,0.55,0.6524118764956179,0.5389046941678521,0.64,0.52
Garganta de los Montes,,0.662125982832697,,0.74346,0.79,0.7016292117396512,0.5474967907573812,0.68,
Gargantilla del Lozoya y Pinilla de Buitrago,,0.6652545338015919,,0.63288,0.8,0.6535917705845709,0.5603987943426849,0.65,0.56
Gascones,,0.7042302324605386,,0.80598,0.81,0.7349444278089936,0.7018947368421053,0.82,
Hiruela (La),,0.6300300268576402,,0.7174200000000001,0.79,0.6433128423722541,0.7467105263157894,0.79,
Horcajo de la Sierra-Aoslos,,0.684758945502386,,0.7920000000000001,0.85,0.9949800081024427,0.674342105263158,1.0,
Horcajuelo de la Sierra,,0.6817912790253643,,0.7068599999999999,0.71,0.6641864467767626,0.6737616099071208,0.75,
Lozoya,5.434782608695652,0.6743228913573841,1.0,0.6219600000000001,0.88,0.5361771514041296,0.5539986329460014,0.56,
Lozoyuela-Navas-Sieteiglesias,,0.6643081495061048,,0.69738,0.6,0.6975463332886753,0.5776058910834571,0.7,0.53
Madarcos,,0.6266290690476934,,0.7532400000000001,0.79,0.8693190751211288,0.598297213622291,0.85,
Montejo de la Sierra,,0.6717361373902418,,0.7008000000000001,0.71,0.6540281227671843,0.5633120458048888,0.66,0.71
Navarredonda y San Mamés,,0.6421654334434743,,0.6967800000000001,0.83,1.0,0.5986149584487535,0.95,
Patones,,0.6644259214918259,,0.7000200000000001,0.78,0.6215631867740135,0.6002962704775183,0.66,0.61
Pelayos de la Presa,,0.69047536728207,,0.72318,0.53,0.6375696070246577,0.5365175673768873,0.62,0.52
Pinilla del Valle,,0.6745149622680154,,0.71706,0.78,0.6220718407585402,0.520099461251554,0.6,
Piñuécar-Gandullas,,0.6575060468928322,,0.6222000000000001,0.7,0.6830390869285008,0.5715195246179966,0.68,
Prádena del Rincón,,0.6586996711801353,,0.7034400000000001,1.0,0.8770634408481621,0.6052631578947368,0.86,
Puebla de la Sierra,,0.638823985649653,,0.73638,0.79,0.6710760396667428,0.611578947368421,0.71,
Puentes Viejas,,0.6651328769583205,,0.6261000000000001,0.78,0.5332218400336262,0.5577249575551783,0.56,
Rascafría,1.6025641025641024,0.6558740944748943,0.67,0.74604,0.77,0.6318516949794755,0.623919703690155,0.69,
Robledillo de la Jara,,0.6244629446161966,,0.8307600000000002,0.72,0.7332558850798154,0.5169491525423728,0.68,0.77
