municipio_nombre,Centros Escolares Subindex,Nivel Estudios Subindex,Índice de Capital Humano,Contratos Subindex,Contratos por Tipo de Servicio Subindex,Unidades Productivas Subindex,Índice de Diversidad Económica,Índice de Igualdad Económica
Ajalvir,0.31565656565656575,0.7065898751535689,0.62,0.8138059701492538,1.0,1.0,1.0,0.61
Aldea del Fresno,0.4655493482309125,,,0.7676184295911747,0.5670271001486457,0.6502007462264712,0.61,0.99
Algete,1.7544937972371875,0.6654480165584681,0.9,0.8540071382219339,0.688113878434799,0.6179941539130172,0.65,0.63
Ambite,,0.6752901068164878,,0.8035853341985724,0.6832757095994907,0.6417730649361373,0.66,
Anchuelo,,0.6756514214471454,,0.6924237508111617,0.6039908721695318,0.7006986359909803,0.65,
Aranjuez,2.0125392963289035,0.644740118989881,0.79,0.839892926670993,0.5414522293297385,0.6358636235911744,0.59,0.6
Batres,,0.6462597370074344,,0.671009085009734,0.5664793188687064,0.5644576563232961,0.57,
Becerril de la Sierra,0.253549695740365,0.6779093856880776,0.58,0.6999188838416612,0.5799432355409025,0.58792756555733,0.58,0.54
Belmonte de Tajo,0.865051903114187,0.6662026675542005,0.86,0.7944841012329658,0.5532668218129314,0.6260119018627035,0.59,0.59
Boalo (El),0.15006002400960383,0.6530395129302015,0.66,0.7359344581440623,0.5383002535555786,0.6457710157860492,0.59,0.51
Brunete,0.13326226012793177,0.6696692522469674,0.58,0.8670992861778066,0.5550469960356635,0.5864374079550405,0.57,0.57
Cabanillas de la Sierra,,0.686649530486193,,0.839892926670993,0.537731348116338,0.6024667956283026,0.57,
Cabrera (La),1.1389521640091116,0.6712603716049661,0.77,0.8502595717066841,0.6390252673099065,0.5991583431147248,0.62,0.72
Camarma de Esteruelas,0.16801075268817206,0.6669763366958097,0.62,0.7876216742375082,0.5426586945014246,0.7113833447467617,0.63,0.59
Campo Real,0.1971608832807571,0.6744813174420724,0.67,0.7731667748215445,0.6391041563514152,0.6885745126343689,0.66,0.57
Carabaña,,0.6763100060621672,,0.8022225827384816,0.602663301294028,0.7385693299682158,0.67,0.57
Cercedilla,0.6983240223463687,0.6639781605126425,0.79,0.7198734587929916,0.5697523145192555,0.6779588005120472,0.62,0.69
Chapinería,,0.6644708024392513,,0.7561323815704089,0.555299204062529,0.6354197054037068,0.6,0.63
Chinchón,0.6142506142506142,0.665920340586916,0.63,0.8464633354964309,0.554129515236159,0.6414839637931913,0.6,0.57
Ciempozuelos,1.6760010368905598,0.647614148948735,0.73,0.7403147306943544,0.6824842472541613,0.7864626928446645,0.73,0.76
Cobeña,0.15299877600979192,0.6621046876314101,0.51,0.7055158987670345,0.5808951119736504,0.5779081790596877,0.58,0.65
Collado Mediano,0.20358306188925082,0.6764512522914625,0.57,0.8087929915639196,0.5258572835682253,0.558520717671396,0.54,0.56
Colmenar Viejo,1.6589582984510995,0.6734268086283102,0.74,0.8648604802076575,0.5792100322071346,0.5458059274267923,0.56,0.6
Colmenar de Oreja,0.19546520719311963,0.6646090399781005,0.59,0.8053861129136924,0.5582481765688426,0.573306621473841,0.57,0.57
Colmenar del Arroyo,,0.6391674556520621,,0.7977449707981831,0.6042446542032401,0.6943194133660815,0.65,0.69
Colmenarejo,0.1510574018126888,0.6573344908274172,0.68,0.735691109669046,0.6394160850791143,0.6477612361618144,0.64,0.57
Corpa,,0.6830795078895338,,0.8201817001946788,0.5526023256831273,0.5200146749392669,0.54,0.83
Cubas de la Sagra,0.16202203499675957,0.629667548637064,0.5,0.8298182998053213,0.5,0.5,0.5,0.61
Daganzo de Arriba,0.11111111111111112,0.6880084524529148,0.56,0.8523523685918235,0.6231884564412017,0.5976061477928005,0.61,0.52
Escorial (El),0.20669698222405952,0.6869642419156965,0.61,0.7153471771576899,0.6295165770573029,0.6344363043814423,0.63,0.61
Fresno de Torote,,0.6690943833088266,,0.7981829980532124,0.5177417015061251,0.5489792441393903,0.53,0.56
Fuente el Saz de Jarama,0.21222410865874364,0.6859124733682607,0.63,0.7547209604153148,0.5342272461907326,0.5321725883792494,0.53,0.59
Galapagar,0.21236833163438668,0.691414288960937,0.54,0.7523361453601558,0.6015669838443748,0.7657079077018427,0.68,0.6
Griñón,0.40431266846361175,0.6763910400436439,0.58,0.8326898118105126,0.5288103302687949,0.5354747549075063,0.53,0.89
Guadalix de la Sierra,0.2181500872600349,0.6787386651719091,0.58,0.8706035042180402,0.8613421822963266,0.7809670230680419,0.82,0.6
Guadarrama,0.27183762232693,0.6858611827954452,0.61,0.7288286826735886,0.569807645465848,0.636242049755495,0.6,0.7
