codigo_valor,Nombre,Valor,Year,Indicador,lau_id
28079_2.301_2016,Madrid,,2016,2.301,28079
28079_2.305_2016,Madrid,0.5,2016,2.305,28079
28079_2.309_2016,Madrid,0.5,2016,2.309,28079
28079_2.312_2016,Madrid,0.5,2016,2.312,28079
28079_2.302_2016,Madrid,,2016,2.302,28079
28079_2.303_2016,Madrid,1.46,2016,2.303,28079
28079_2.304_2016,Madrid,0.52,2016,2.304,28079
28079_2.306_2016,Madrid,0.5,2016,2.306,28079
28079_2.307_2016,Madrid,0.5,2016,2.307,28079
28079_2.308_2016,Madrid,19771.0,2016,2.308,28079
28079_2.310_2016,Madrid,0.5,2016,2.310,28079
28079_2.311_2016,Madrid,0.5,2016,2.311,28079
28079_2.313_2016,Madrid,2.58,2016,2.313,28079
28079_2.314_2016,Madrid,0.33,2016,2.314,28079
