codigo_valor,Nombre,Valor,Year,Indicador,lau_id
28002_2.300_2015,Ajalvir,272693.0,2015,2.300,28002
28008_2.300_2015,Aldea del Fresno,36691.0,2015,2.300,28008
28009_2.300_2015,Algete,522727.0,2015,2.300,28009
28011_2.300_2015,Ambite,8159.0,2015,2.300,28011
28012_2.300_2015,Anchuelo,14822.0,2015,2.300,28012
28013_2.300_2015,Aranjuez,1115080.0,2015,2.300,28013
28017_2.300_2015,Batres,16464.0,2015,2.300,28017
28018_2.300_2015,Becerril de la Sierra,72523.0,2015,2.300,28018
28019_2.300_2015,Belmonte de Tajo,21351.0,2015,2.300,28019
28023_2.300_2015,Boalo (El),90669.0,2015,2.300,28023
28026_2.300_2015,Brunete,144352.0,2015,2.300,28026
28029_2.300_2015,Cabanillas de la Sierra,11146.0,2015,2.300,28029
28030_2.300_2015,Cabrera (La),40245.0,2015,2.300,28030
28032_2.300_2015,Camarma de Esteruelas,150972.0,2015,2.300,28032
28033_2.300_2015,Campo Real,130881.0,2015,2.300,28033
28035_2.300_2015,Carabaña,22536.0,2015,2.300,28035
28038_2.300_2015,Cercedilla,133286.0,2015,2.300,28038
28051_2.300_2015,Chapinería,27671.0,2015,2.300,28051
28052_2.300_2015,Chinchón,90002.0,2015,2.300,28052
28040_2.300_2015,Ciempozuelos,580263.0,2015,2.300,28040
28041_2.300_2015,Cobeña,105574.0,2015,2.300,28041
28046_2.300_2015,Collado Mediano,90072.0,2015,2.300,28046
28045_2.300_2015,Colmenar Viejo,879715.0,2015,2.300,28045
28043_2.300_2015,Colmenar de Oreja,121511.0,2015,2.300,28043
28042_2.300_2015,Colmenar del Arroyo,37498.0,2015,2.300,28042
28044_2.300_2015,Colmenarejo,163695.0,2015,2.300,28044
28048_2.300_2015,Corpa,5972.0,2015,2.300,28048
28050_2.300_2015,Cubas de la Sagra,71548.0,2015,2.300,28050
28053_2.300_2015,Daganzo de Arriba,296746.0,2015,2.300,28053
28054_2.300_2015,Escorial (El),225041.0,2015,2.300,28054
28057_2.300_2015,Fresno de Torote,19231.0,2015,2.300,28057
28059_2.300_2015,Fuente el Saz de Jarama,141765.0,2015,2.300,28059
28061_2.300_2015,Galapagar,373096.0,2015,2.300,28061
28066_2.300_2015,Griñón,286935.0,2015,2.300,28066
28067_2.300_2015,Guadalix de la Sierra,84334.0,2015,2.300,28067
28068_2.300_2015,Guadarrama,216182.0,2015,2.300,28068
28072_2.300_2015,Hoyo de Manzanares,110104.0,2015,2.300,28072
28075_2.300_2015,Loeches,270606.0,2015,2.300,28075
28082_2.300_2015,Manzanares el Real,95501.0,2015,2.300,28082
